point_id,city,n_headings,sidewalk_frac_mean,crosswalk_frac_mean,vegetation_frac_mean,sky_frac_mean,building_frac_mean,sidewalk_frac_max,crosswalk_frac_max,vegetation_frac_max,building_frac_max,sidewalk_width_px,street_mask_coverage_mean,naip_vegetation_frac,naip_building_frac,naip_road_frac,naip_water_frac,naip_mask_coverage,naip_n_masks,naip_missing,naip_unclassified,stops_400m,trips_per_hr_400m,stops_800m,trips_per_hr_800m,lat,lon,ca_sidewalk,ca_crosswalk,ca_tree_canopy,ca_transit_stop,agree_sidewalk,agree_crosswalk,agree_tree_canopy,agree_transit_stop,agreement_score,agreement_tier,NatWalkInd,D2A_Ranked,D2B_Ranked,D3B_Ranked,D4A_Ranked,D1A,D1B,D2B_E8MIX,D3A,D3B,D3APO,D4A,D4C,D4D,LPA_CrudePrev,OBESITY_CrudePrev,overture_sidewalk_present,overture_intersection_count_200m,overture_building_footprint_frac_100m,overture_crosswalk_present
1021,seattle,4.0,0.225751,0.000261,0.19596,0.273183,0.04802,0.311773,0.001045,0.474606,0.0853,629.67,0.658972,0.0,0.0,0.144766,0.0,0.14492,2.0,0.0,0.0,4,19.312,13,66.125,47.6749795,-122.3877695,2.0,,3.0,0.0,1.0,,1.0,0.0,1.0,high_confidence,16.833333333333332,5.0,18.0,20.0,19.0,18.85814387820872,30.53223294567126,0.8170681555903309,33.87779445505502,293.56977445858786,33.87779445505502,210.56,47.33,631.431830272,,,1.0,26.0,0.2583,0
1022,seattle,4.0,0.036168,0.0,0.134789,0.306901,0.058361,0.075827,0.0,0.180386,0.113262,205.67,0.55258,0.0,0.0,0.0,0.111571,0.111977,2.0,0.0,0.0,4,19.312,11,60.062,47.6753672,-122.3877721,2.0,1.0,2.0,0.0,1.0,0.0,1.0,0.0,0.6667,partial,14.166666666666668,6.0,9.0,18.0,17.0,10.414012583945674,23.8760288509974,0.6216616349414568,27.840410707065008,153.55165221336483,27.840410707065008,359.42,20.67,280.009938355,,,1.0,29.0,0.3108,0
1023,seattle,4.0,0.108669,0.003622,0.183318,0.34778,0.006103,0.148504,0.012531,0.343395,0.008556,220.62,0.602578,0.0,0.0,0.14244,0.0,0.14244,1.0,0.0,0.0,1,4.75,25,48.438,47.675838,-122.3929156,2.0,1.0,2.0,0.0,1.0,0.0,1.0,0.0,0.6667,partial,14.166666666666668,6.0,9.0,18.0,17.0,10.414012583945674,23.8760288509974,0.6216616349414568,27.840410707065008,153.55165221336483,27.840410707065008,359.42,20.67,280.009938355,,,1.0,24.0,0.2394,1
1024,seattle,4.0,0.048325,0.000854,0.077817,0.333308,0.01374,0.152542,0.003418,0.128098,0.026155,242.5,0.497776,0.0,0.0,0.904418,0.886391,0.904436,2.0,0.0,0.0,2,0.5,17,4.25,47.6758717,-122.403498,2.0,0.0,2.0,0.0,1.0,1.0,1.0,0.0,1.0,high_confidence,17.0,16.0,16.0,19.0,16.0,4.553628234650619,11.202194902698194,0.7705739624272782,28.136990802468045,181.17017058036856,28.136990802468045,460.0,6.0,25.4684994138,,,1.0,28.0,0.2241,0
1025,seattle,4.0,0.153163,0.042216,0.053303,0.291084,0.054728,0.331161,0.104792,0.086943,0.070621,375.25,0.622656,0.0,0.202157,0.0,0.192923,0.221681,3.0,0.0,0.0,5,24.062,11,43.875,47.6758721,-122.3877727,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,high_confidence,14.166666666666668,6.0,9.0,18.0,17.0,10.414012583945674,23.8760288509974,0.6216616349414568,27.840410707065008,153.55165221336483,27.840410707065008,359.42,20.67,280.009938355,,,1.0,24.0,0.3269,0
1026,seattle,4.0,0.007064,0.0,0.14835,0.204576,0.043529,0.019113,0.0,0.334998,0.065793,228.5,0.412724,0.0,0.634382,0.0,0.633498,0.634562,3.0,0.0,0.0,5,24.062,15,44.875,47.6758747,-122.3887367,2.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.6667,partial,14.166666666666668,6.0,9.0,18.0,17.0,10.414012583945674,23.8760288509974,0.6216616349414568,27.840410707065008,153.55165221336483,27.840410707065008,359.42,20.67,280.009938355,,,1.0,35.0,0.298,0
1027,seattle,4.0,0.071226,0.0,0.170089,0.221906,0.025912,0.271399,0.0,0.431871,0.065793,285.67,0.495292,0.0,0.0,0.0,0.468721,0.468793,2.0,0.0,0.0,5,24.062,15,44.875,47.6758758,-122.3885872,2.0,0.0,2.0,0.0,1.0,1.0,1.0,0.0,1.0,high_confidence,14.166666666666668,6.0,9.0,18.0,17.0,10.414012583945674,23.8760288509974,0.6216616349414568,27.840410707065008,153.55165221336483,27.840410707065008,359.42,20.67,280.009938355,,,1.0,32.0,0.297,0
1028,seattle,4.0,0.154356,0.022527,0.037947,0.291958,0.063793,0.331161,0.038097,0.086943,0.070621,365.25,0.602458,0.161729,0.0,0.0,0.162902,0.164552,3.0,0.0,0.0,5,24.062,11,43.875,47.6758861,-122.3877474,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,high_confidence,14.166666666666668,6.0,9.0,18.0,17.0,10.414012583945674,23.8760288509974,0.6216616349414568,27.840410707065008,153.55165221336483,27.840410707065008,359.42,20.67,280.009938355,,,1.0,24.0,0.332,0
1029,seattle,4.0,0.107873,0.029181,0.047046,0.307888,0.148491,0.191551,0.099884,0.130112,0.229338,251.75,0.665382,0.0,0.21177,0.213908,0.212185,0.215197,4.0,0.0,0.0,9,2.25,19,9.25,47.6759479,-122.3982745,2.0,1.0,2.0,0.0,1.0,1.0,1.0,0.0,1.0,high_confidence,16.666666666666664,7.0,17.0,19.0,19.0,8.008537281288588,15.552811531777838,0.8068935158557415,30.753152099471208,217.1873052650133,30.753152099471208,199.83,6.0,48.8537089147,,,1.0,29.0,0.319,1
103,seattle,4.0,0.01304,0.012376,0.005614,0.35153,0.057174,0.041061,0.047046,0.015015,0.092287,177.25,0.444477,0.0,0.051051,0.02112,0.0,0.077817,3.0,0.0,0.0,4,25.188,21,98.375,47.7196464,-122.3447569,2.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,high_confidence,17.0,20.0,14.0,14.0,20.0,3.726682453161366,8.283278587381362,0.7035895682247953,15.514976815775947,100.41004047417132,14.547899834081983,155.57,42.67,144.35634862,,,1.0,60.0,0.2257,0
1030,seattle,4.0,0.082453,0.0,0.058782,0.314723,0.019379,0.115349,0.0,0.099028,0.041162,169.25,0.515028,0.0,0.158564,0.158681,0.157328,0.158744,3.0,0.0,0.0,7,1.75,17,4.25,47.6765928,-122.4011721,1.0,0.0,2.0,0.0,1.0,1.0,1.0,0.0,1.0,high_confidence,17.0,16.0,16.0,19.0,16.0,4.553628234650619,11.202194902698194,0.7705739624272782,28.136990802468045,181.17017058036856,28.136990802468045,460.0,6.0,25.4684994138,,,1.0,36.0,0.2082,0
1031,seattle,4.0,0.103186,0.0,0.102922,0.35386,0.011444,0.161943,0.0,0.244732,0.017994,256.5,0.598322,0.0,0.152278,0.151999,0.150367,0.152702,4.0,0.0,0.0,7,1.75,17,4.25,47.6769378,-122.4009585,2.0,0.0,2.0,0.0,1.0,1.0,1.0,0.0,1.0,high_confidence,16.666666666666664,7.0,17.0,19.0,19.0,8.008537281288588,15.552811531777838,0.8068935158557415,30.753152099471208,217.1873052650133,30.753152099471208,199.83,6.0,48.8537089147,,,1.0,33.0,0.2031,0
1032,seattle,4.0,0.117344,0.0,0.043471,0.293276,0.013731,0.193729,0.0,0.087723,0.023745,213.0,0.492206,0.0,0.0,0.0,0.0,0.240772,1.0,0.0,1.0,8,2.0,17,4.25,47.6770732,-122.3982916,2.0,0.0,2.0,0.0,1.0,1.0,1.0,0.0,1.0,high_confidence,16.666666666666664,7.0,17.0,19.0,19.0,8.008537281288588,15.552811531777838,0.8068935158557415,30.753152099471208,217.1873052650133,30.753152099471208,199.83,6.0,48.8537089147,,,1.0,36.0,0.1812,0
1033,seattle,4.0,0.084487,0.0,0.0596,0.279997,0.024883,0.112741,0.0,0.091169,0.075859,204.0,0.475866,0.0,0.15438,0.0,0.153929,0.154515,3.0,0.0,0.0,6,1.5,17,4.25,47.6770826,-122.4012304,2.0,,2.0,0.0,1.0,,1.0,0.0,1.0,high_confidence,16.666666666666664,7.0,17.0,19.0,19.0,8.008537281288588,15.552811531777838,0.8068935158557415,30.753152099471208,217.1873052650133,30.753152099471208,199.83,6.0,48.8537089147,,,1.0,35.0,0.2322,0
1034,seattle,4.0,0.080936,0.0,0.048748,0.385202,0.011893,0.133535,0.0,0.078341,0.015167,204.83,0.553255,0.0,0.154154,0.0,0.152901,0.154506,3.0,0.0,0.0,6,1.5,17,4.25,47.6770902,-122.4010211,2.0,,2.0,0.0,1.0,,1.0,0.0,1.0,high_confidence,16.666666666666664,7.0,17.0,19.0,19.0,8.008537281288588,15.552811531777838,0.8068935158557415,30.753152099471208,217.1873052650133,30.753152099471208,199.83,6.0,48.8537089147,,,1.0,35.0,0.2211,0
1035,seattle,4.0,0.084487,0.0,0.0596,0.279997,0.024883,0.112741,0.0,0.091169,0.075859,204.0,0.475866,0.0,0.161937,0.160593,0.0,0.16218,3.0,0.0,0.0,6,1.5,17,4.25,47.6770941,-122.4012241,2.0,,2.0,0.0,1.0,,1.0,0.0,1.0,high_confidence,16.666666666666664,7.0,17.0,19.0,19.0,8.008537281288588,15.552811531777838,0.8068935158557415,30.753152099471208,217.1873052650133,30.753152099471208,199.83,6.0,48.8537089147,,,1.0,37.0,0.2349,0
1036,seattle,4.0,0.139999,0.021756,0.06532,0.275366,0.017795,0.188545,0.055929,0.175901,0.022987,351.75,0.532557,0.440657,0.043296,0.443552,0.0,0.497984,4.0,0.0,0.0,6,1.5,23,33.25,47.677247,-122.3958088,2.0,1.0,2.0,0.0,1.0,1.0,1.0,0.0,1.0,high_confidence,16.666666666666664,7.0,17.0,19.0,19.0,8.008537281288588,15.552811531777838,0.8068935158557415,30.753152099471208,217.1873052650133,30.753152099471208,199.83,6.0,48.8537089147,,,1.0,23.0,0.2669,0
1037,seattle,4.0,0.094666,0.0,0.009587,0.350387,0.015248,0.284777,0.0,0.038347,0.03751,455.25,0.496562,0.0,0.683738,0.0,0.0,0.690258,2.0,0.0,0.0,9,2.25,17,4.25,47.6773616,-122.3984813,2.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.6667,partial,16.666666666666664,7.0,17.0,19.0,19.0,8.008537281288588,15.552811531777838,0.8068935158557415,30.753152099471208,217.1873052650133,30.753152099471208,199.83,6.0,48.8537089147,,,1.0,34.0,0.2131,0
1038,seattle,4.0,0.123422,0.0,0.040574,0.36448,0.028574,0.326267,0.0,0.099277,0.046548,380.33,0.571886,0.698554,0.699123,0.0,0.699979,0.700394,3.0,0.0,0.0,4,19.375,15,45.0,47.6776019,-122.3885613,2.0,0.0,2.0,0.0,1.0,1.0,1.0,0.0,1.0,high_confidence,14.166666666666668,6.0,9.0,18.0,17.0,10.414012583945674,23.8760288509974,0.6216616349414568,27.840410707065008,153.55165221336483,27.840410707065008,359.42,20.67,280.009938355,,,1.0,24.0,0.2771,0
1039,seattle,4.0,0.062917,0.0,0.034835,0.357371,0.037498,0.093378,0.0,0.058228,0.070229,202.5,0.509297,0.0,0.0,0.0,0.0,0.752852,2.0,0.0,1.0,4,19.375,15,45.0,47.6776174,-122.3887612,2.0,0.0,2.0,0.0,1.0,1.0,1.0,0.0,1.0,high_confidence,14.166666666666668,6.0,9.0,18.0,17.0,10.414012583945674,23.8760288509974,0.6216616349414568,27.840410707065008,153.55165221336483,27.840410707065008,359.42,20.67,280.009938355,,,1.0,24.0,0.2444,0
104,seattle,4.0,0.028079,0.0,0.056972,0.38916,0.045234,0.091091,0.0,0.15421,0.064128,178.83,0.519968,0.109831,0.014636,0.02691,0.0,0.153207,4.0,0.0,0.0,4,15.125,12,46.062,47.7196879,-122.3581742,1.0,0.0,2.0,0.0,1.0,1.0,1.0,0.0,1.0,high_confidence,14.666666666666668,11.0,5.0,17.0,19.0,8.622615395659738,22.539115592375683,0.4722567125141708,25.760135700380825,143.02403224377073,23.368359649542512,166.3,26.0,166.493164913,12.5,22.0,1.0,11.0,0.1403,0
