point_id,city,heading,sidewalk_present,crosswalk_present
37,msp,180,0,0
37,msp,270,0,0
38,msp,0,0,0
38,msp,90,0,0
38,msp,180,0,0
38,msp,270,0,0
39,msp,0,0,0
39,msp,90,0,0
39,msp,180,0,0
39,msp,270,1,0
40,msp,0,0,0
40,msp,90,0,0
40,msp,180,0,0
40,msp,270,0,0
41,msp,0,0,0
41,msp,90,0,0
41,msp,180,0,0
41,msp,270,0,0
42,msp,0,0,0
42,msp,90,0,0
42,msp,180,0,0
42,msp,270,0,0
43,msp,0,0,0
43,msp,90,0,0
43,msp,180,0,0
43,msp,270,0,0
44,msp,0,0,0
44,msp,90,0,0
44,msp,180,0,0
44,msp,270,0,0
45,msp,0,1,1
45,msp,90,1,1
45,msp,180,1,1
45,msp,270,1,1
46,msp,0,0,0
46,msp,90,0,0
46,msp,180,0,0
46,msp,270,0,0
47,msp,0,1,1
47,msp,90,1,1
47,msp,180,1,1
47,msp,270,1,1
48,msp,0,1,0
48,msp,90,1,0
48,msp,180,1,0
48,msp,270,1,0
49,msp,0,1,0
49,msp,90,0,0
49,msp,180,0,0
49,msp,270,0,0
50,msp,0,0,0
50,msp,90,0,0
50,msp,180,0,0
50,msp,270,0,0
51,msp,0,1,0
51,msp,90,1,0
51,msp,180,1,0
51,msp,270,1,0
52,msp,0,0,0
52,msp,90,1,0
52,msp,180,1,0
52,msp,270,0,0
53,msp,0,0,0
53,msp,90,0,0
53,msp,180,0,0
53,msp,270,0,0
54,msp,0,0,0
54,msp,90,0,0
54,msp,180,0,0
54,msp,270,0,0
55,msp,0,0,0
55,msp,90,0,0
55,msp,180,0,0
55,msp,270,0,0
56,msp,0,0,0
56,msp,90,0,0
56,msp,180,0,0
56,msp,270,0,0
57,msp,0,0,0
57,msp,90,0,0
57,msp,180,0,0
57,msp,270,0,0
58,msp,0,1,0
58,msp,90,1,0
58,msp,180,1,0
58,msp,270,1,0
59,msp,0,0,0
59,msp,90,0,0
59,msp,180,0,0
59,msp,270,0,0
60,msp,0,0,0
60,msp,90,0,0
60,msp,180,0,0
60,msp,270,0,0
61,msp,0,0,0
61,msp,90,0,0
61,msp,180,0,0
61,msp,270,0,0
62,msp,0,0,0
62,msp,90,0,0
62,msp,180,0,0
62,msp,270,0,0
63,msp,0,0,0
63,msp,90,0,0
63,msp,180,0,0
63,msp,270,0,0
64,msp,0,0,0
64,msp,90,0,0
64,msp,180,0,0
64,msp,270,0,0
65,msp,0,0,0
65,msp,90,0,0
65,msp,180,0,0
65,msp,270,0,0
66,msp,0,0,0
66,msp,90,0,0
66,msp,180,0,0
66,msp,270,0,0
67,msp,0,0,0
67,msp,90,0,0
67,msp,180,0,0
67,msp,270,0,0
68,msp,0,1,0
68,msp,90,1,0
68,msp,180,1,0
68,msp,270,1,0
69,msp,0,0,0
69,msp,90,0,0
69,msp,180,0,0
69,msp,270,0,0
70,msp,0,0,0
70,msp,90,0,0
70,msp,180,0,0
70,msp,270,0,0
71,msp,0,0,0
71,msp,90,0,0
71,msp,180,0,0
71,msp,270,0,0
72,msp,0,0,0
72,msp,90,0,0
72,msp,180,0,0
72,msp,270,0,0
73,msp,0,0,0
73,msp,90,0,0
73,msp,180,0,0
73,msp,270,0,0
74,msp,0,0,0
74,msp,90,0,0
74,msp,180,0,0
74,msp,270,0,0
75,msp,0,0,0
75,msp,90,1,0
75,msp,180,0,0
75,msp,270,0,0
76,msp,0,1,0
76,msp,90,1,0
76,msp,180,1,0
76,msp,270,1,0
77,msp,0,0,0
77,msp,90,0,0
77,msp,180,0,0
77,msp,270,1,0
78,msp,0,0,0
78,msp,90,0,0
78,msp,180,0,0
78,msp,270,0,0
79,msp,0,0,0
79,msp,90,0,0
79,msp,180,0,0
79,msp,270,0,0
80,msp,0,0,0
80,msp,90,0,0
80,msp,180,0,0
80,msp,270,0,0
81,msp,0,0,0
81,msp,90,0,0
81,msp,180,0,0
81,msp,270,0,0
82,msp,0,0,0
82,msp,90,0,0
82,msp,180,0,0
82,msp,270,0,0
83,msp,0,0,0
83,msp,90,0,0
83,msp,180,0,0
83,msp,270,0,0
84,msp,0,0,0
84,msp,90,0,0
84,msp,180,0,0
84,msp,270,0,0
85,msp,0,0,0
85,msp,90,0,0
85,msp,180,0,0
85,msp,270,0,0
86,msp,0,0,0
86,msp,90,0,0
86,msp,180,0,0
86,msp,270,0,0
87,msp,0,0,0
87,msp,90,0,0
87,msp,180,0,0
87,msp,270,0,0
88,msp,0,0,0
88,msp,90,0,0
88,msp,180,0,0
88,msp,270,0,0
89,msp,0,0,0
89,msp,90,0,0
89,msp,180,0,0
89,msp,270,0,0
90,msp,0,0,0
90,msp,90,0,0
90,msp,180,0,0
90,msp,270,0,0
91,msp,0,0,0
91,msp,90,0,0
91,msp,180,0,0
91,msp,270,0,0
92,msp,0,0,0
92,msp,90,0,0
92,msp,180,0,0
92,msp,270,0,0
93,msp,0,0,0
93,msp,90,0,0
93,msp,180,0,0
93,msp,270,0,0
94,msp,0,0,0
94,msp,90,0,0
94,msp,180,0,0
94,msp,270,0,0
95,msp,0,1,0
95,msp,90,1,0
95,msp,180,1,0
95,msp,270,1,0
96,msp,0,1,0
96,msp,90,1,0
96,msp,180,1,0
96,msp,270,1,0
97,msp,0,1,0
97,msp,90,1,0
97,msp,180,1,0
97,msp,270,1,0
98,msp,0,1,0
98,msp,90,1,0
98,msp,180,1,0
98,msp,270,1,0
99,msp,0,1,0
99,msp,90,1,1
99,msp,180,1,0
99,msp,270,1,0
100,msp,0,1,0
100,msp,90,1,0
100,msp,180,1,0
100,msp,270,1,0
101,msp,0,1,1
101,msp,90,1,0
101,msp,180,1,0
101,msp,270,1,0
102,msp,0,1,0
102,msp,90,1,0
102,msp,180,1,1
102,msp,270,1,1
103,msp,0,1,0
103,msp,90,1,1
103,msp,180,1,1
103,msp,270,1,0
104,msp,0,1,0
104,msp,90,1,0
104,msp,180,1,0
104,msp,270,1,1
105,msp,0,1,0
105,msp,90,1,0
105,msp,180,1,0
105,msp,270,1,0
106,msp,0,1,0
106,msp,90,1,0
106,msp,180,1,0
106,msp,270,1,0
107,msp,0,1,0
107,msp,90,1,0
107,msp,180,1,0
107,msp,270,1,0
108,msp,0,1,0
108,msp,90,1,0
108,msp,180,1,0
108,msp,270,1,0
109,msp,0,1,0
109,msp,90,1,0
109,msp,180,1,0
109,msp,270,1,0
110,msp,0,1,0
110,msp,90,1,0
110,msp,180,1,0
110,msp,270,1,0
111,msp,0,1,0
111,msp,90,1,0
111,msp,180,1,0
111,msp,270,1,0
112,msp,0,1,0
112,msp,90,1,0
112,msp,180,1,0
112,msp,270,1,0
113,msp,0,1,0
113,msp,90,1,0
113,msp,180,1,0
113,msp,270,1,0
114,msp,0,1,0
114,msp,90,1,0
114,msp,180,1,0
114,msp,270,1,0
115,msp,0,1,0
115,msp,90,1,0
115,msp,180,1,0
115,msp,270,1,0
116,msp,0,1,0
116,msp,90,1,0
116,msp,180,1,0
116,msp,270,1,0
117,msp,0,1,0
117,msp,90,1,0
117,msp,180,1,0
117,msp,270,1,0
118,msp,0,1,0
118,msp,90,1,0
118,msp,180,1,0
118,msp,270,1,0
119,msp,0,1,0
119,msp,90,1,0
119,msp,180,1,0
119,msp,270,1,0
120,msp,0,0,0
120,msp,90,0,0
120,msp,180,0,0
120,msp,270,0,0
121,msp,0,1,0
121,msp,90,1,0
121,msp,180,1,0
121,msp,270,1,0
122,msp,0,1,0
122,msp,90,1,0
122,msp,180,1,0
122,msp,270,1,0
123,msp,0,0,0
123,msp,90,0,0
123,msp,180,0,0
123,msp,270,0,0
124,msp,0,0,0
124,msp,90,0,0
124,msp,180,0,0
124,msp,270,0,0
125,msp,0,1,0
125,msp,90,1,0
125,msp,180,1,0
125,msp,270,1,0
126,msp,0,0,0
126,msp,90,0,0
126,msp,180,0,0
126,msp,270,0,0
127,msp,0,0,0
127,msp,90,0,0
127,msp,180,0,0
127,msp,270,0,0
128,msp,0,1,0
128,msp,90,1,0
128,msp,180,1,0
128,msp,270,1,0
129,msp,0,1,0
129,msp,90,1,0
129,msp,180,1,0
129,msp,270,1,0
130,msp,0,1,0
130,msp,90,1,0
130,msp,180,1,0
130,msp,270,1,0
131,msp,0,1,0
131,msp,90,1,0
131,msp,180,1,0
131,msp,270,1,0
132,msp,0,1,0
132,msp,90,1,0
132,msp,180,1,0
132,msp,270,1,0
133,msp,0,1,0
133,msp,90,1,0
133,msp,180,1,0
133,msp,270,1,0
134,msp,0,1,0
134,msp,90,1,0
134,msp,180,1,0
134,msp,270,1,0
135,msp,0,1,0
135,msp,90,1,0
135,msp,180,1,0
135,msp,270,1,0
136,msp,0,1,0
136,msp,90,1,0
136,msp,180,1,0
136,msp,270,1,0
137,msp,0,1,0
137,msp,90,1,0
137,msp,180,1,0
137,msp,270,1,0
138,msp,0,1,0
138,msp,90,1,0
138,msp,180,1,0
138,msp,270,1,0
139,msp,0,1,0
139,msp,90,1,0
139,msp,180,1,0
139,msp,270,1,0
140,msp,0,1,0
140,msp,90,1,0
140,msp,180,1,0
140,msp,270,1,0
141,msp,0,1,0
141,msp,90,1,0
141,msp,180,1,0
141,msp,270,1,0
142,msp,0,1,0
142,msp,90,1,0
142,msp,180,1,0
142,msp,270,1,0
143,msp,0,1,0
143,msp,90,1,0
143,msp,180,1,0
143,msp,270,1,0
144,msp,0,1,0
144,msp,90,1,0
144,msp,180,1,0
144,msp,270,1,0
145,msp,0,1,0
145,msp,90,1,0
145,msp,180,1,0
145,msp,270,1,0
146,msp,0,1,0
146,msp,90,1,0
146,msp,180,1,0
146,msp,270,1,0
147,msp,0,1,0
147,msp,90,1,0
147,msp,180,1,0
147,msp,270,1,0
148,msp,0,0,0
148,msp,90,1,0
148,msp,180,0,0
148,msp,270,0,0
149,msp,0,1,0
149,msp,90,1,0
149,msp,180,1,0
149,msp,270,1,0
150,msp,0,1,0
150,msp,90,1,0
150,msp,180,1,0
150,msp,270,1,0
151,msp,0,1,0
151,msp,90,1,0
151,msp,180,1,0
151,msp,270,1,0
152,msp,0,1,0
152,msp,90,1,0
152,msp,180,1,0
152,msp,270,1,0
153,msp,0,1,1
153,msp,90,1,1
153,msp,180,1,1
153,msp,270,1,1
154,msp,0,1,0
154,msp,90,1,0
154,msp,180,1,0
154,msp,270,1,0
155,msp,0,1,0
155,msp,90,1,0
155,msp,180,1,0
155,msp,270,1,0
156,msp,0,0,0
156,msp,90,1,0
156,msp,180,1,0
156,msp,270,1,0
157,msp,0,1,0
157,msp,90,1,0
157,msp,180,1,0
157,msp,270,1,0
158,msp,0,1,0
158,msp,90,1,0
158,msp,180,1,0
158,msp,270,1,0
159,msp,0,0,0
159,msp,90,0,0
159,msp,180,0,0
159,msp,270,0,0
160,msp,0,0,0
160,msp,90,0,0
160,msp,180,1,0
160,msp,270,1,0
161,msp,0,1,0
161,msp,90,1,0
161,msp,180,1,0
161,msp,270,1,0
162,msp,0,1,0
162,msp,90,1,0
162,msp,180,1,0
162,msp,270,1,0
163,msp,0,1,0
163,msp,90,1,0
163,msp,180,1,0
163,msp,270,1,0
164,msp,0,1,0
164,msp,90,1,0
164,msp,180,1,0
164,msp,270,1,0
165,msp,0,1,0
165,msp,90,1,0
165,msp,180,1,0
165,msp,270,1,0
166,msp,0,1,0
166,msp,90,1,0
166,msp,180,1,0
166,msp,270,1,0
167,msp,0,0,0
167,msp,90,0,0
167,msp,180,0,0
167,msp,270,0,0
168,msp,0,1,0
168,msp,90,1,0
168,msp,180,1,0
168,msp,270,1,0
169,msp,0,1,0
169,msp,90,1,0
169,msp,180,1,0
169,msp,270,1,0
170,msp,0,1,0
170,msp,90,1,0
170,msp,180,1,0
170,msp,270,1,0
171,msp,0,1,0
171,msp,90,1,0
171,msp,180,1,0
171,msp,270,1,0
172,msp,0,1,0
172,msp,90,1,0
172,msp,180,1,0
172,msp,270,1,0
173,msp,0,1,0
173,msp,90,1,0
173,msp,180,1,0
173,msp,270,1,0
174,msp,0,1,0
174,msp,90,1,0
174,msp,180,1,0
174,msp,270,1,0
175,msp,0,1,0
175,msp,90,1,0
175,msp,180,1,0
175,msp,270,1,0
176,msp,0,1,0
176,msp,90,1,0
176,msp,180,1,0
176,msp,270,1,0
177,msp,0,1,0
177,msp,90,1,0
177,msp,180,1,0
177,msp,270,1,0
178,msp,0,1,0
178,msp,90,1,0
178,msp,180,1,0
178,msp,270,1,0
179,msp,0,1,0
179,msp,90,1,0
179,msp,180,1,0
179,msp,270,0,0
180,msp,0,1,0
180,msp,90,1,0
180,msp,180,1,0
180,msp,270,1,0
181,msp,0,1,0
181,msp,90,1,0
181,msp,180,1,0
181,msp,270,1,0
182,msp,0,1,0
182,msp,90,1,0
182,msp,180,1,0
182,msp,270,1,0
183,msp,0,1,0
183,msp,90,1,0
183,msp,180,1,0
183,msp,270,1,0
184,msp,0,1,0
184,msp,90,1,0
184,msp,180,1,0
184,msp,270,1,0
185,msp,0,1,0
185,msp,90,1,0
185,msp,180,1,0
185,msp,270,1,0
186,msp,0,1,0
186,msp,90,1,0
186,msp,180,1,0
186,msp,270,1,0
187,msp,0,1,0
187,msp,90,1,0
187,msp,180,1,0
187,msp,270,1,0
188,msp,0,1,0
188,msp,90,1,0
188,msp,180,1,0
188,msp,270,1,0
189,msp,0,1,0
189,msp,90,1,0
189,msp,180,1,0
189,msp,270,1,0
190,msp,0,0,0
190,msp,90,0,0
190,msp,180,0,0
190,msp,270,0,0
191,msp,0,1,0
191,msp,90,1,0
191,msp,180,1,0
191,msp,270,1,0
192,msp,0,0,0
192,msp,90,0,0
192,msp,180,0,0
192,msp,270,0,0
193,msp,0,1,0
193,msp,90,1,0
193,msp,180,1,0
193,msp,270,1,0
194,msp,0,1,0
194,msp,90,1,0
194,msp,180,1,0
194,msp,270,1,0
195,msp,0,1,0
195,msp,90,1,0
195,msp,180,1,0
195,msp,270,1,0
196,msp,0,0,0
196,msp,90,0,0
196,msp,180,0,0
196,msp,270,1,0
197,msp,0,1,0
197,msp,90,1,0
197,msp,180,1,0
197,msp,270,1,0
198,msp,0,0,0
198,msp,90,1,0
198,msp,180,0,0
198,msp,270,0,0
199,msp,0,1,0
199,msp,90,1,0
199,msp,180,1,0
199,msp,270,1,0
200,msp,0,0,0
200,msp,90,0,0
200,msp,180,0,0
200,msp,270,0,0
201,msp,0,1,0
201,msp,90,1,0
201,msp,180,0,0
201,msp,270,0,0
202,msp,0,1,0
202,msp,90,1,0
202,msp,180,1,0
202,msp,270,1,0
203,msp,0,1,0
203,msp,90,0,0
203,msp,180,0,0
203,msp,270,1,0
204,msp,0,1,0
204,msp,90,1,0
204,msp,180,1,0
204,msp,270,1,0
205,msp,0,1,0
205,msp,90,1,0
205,msp,180,1,0
205,msp,270,1,0
206,msp,0,1,0
206,msp,90,1,0
206,msp,180,1,0
206,msp,270,1,0
207,msp,0,1,0
207,msp,90,1,0
207,msp,180,1,0
207,msp,270,1,0
208,msp,0,0,0
208,msp,90,0,0
208,msp,180,0,0
208,msp,270,0,0
209,msp,0,0,0
209,msp,90,0,0
209,msp,180,0,0
209,msp,270,0,0
210,msp,0,0,0
210,msp,90,0,0
210,msp,180,0,0
210,msp,270,1,0
211,msp,0,1,0
211,msp,90,1,0
211,msp,180,1,0
211,msp,270,1,0
212,msp,0,0,0
212,msp,90,1,0
212,msp,180,0,0
212,msp,270,0,0
213,msp,0,0,0
213,msp,90,1,0
213,msp,180,1,0
213,msp,270,0,0
214,msp,0,0,0
214,msp,90,0,0
214,msp,180,0,0
214,msp,270,0,0
215,msp,0,1,0
215,msp,90,1,0
215,msp,180,1,0
215,msp,270,1,0
216,msp,0,1,0
216,msp,90,1,0
216,msp,180,1,0
216,msp,270,1,0
217,msp,0,1,0
217,msp,90,0,0
217,msp,180,0,0
217,msp,270,1,0
218,msp,0,0,0
218,msp,90,0,0
218,msp,180,0,0
218,msp,270,0,0
219,msp,0,1,0
219,msp,90,1,0
219,msp,180,0,0
219,msp,270,0,0
220,msp,0,1,0
220,msp,90,1,0
220,msp,180,1,0
220,msp,270,0,0
221,msp,0,1,0
221,msp,90,1,0
221,msp,180,1,0
221,msp,270,1,0
222,msp,0,1,0
222,msp,90,1,0
222,msp,180,1,0
222,msp,270,1,0
223,msp,0,1,0
223,msp,90,1,0
223,msp,180,1,0
223,msp,270,1,0
224,msp,0,1,0
224,msp,90,1,0
224,msp,180,1,0
224,msp,270,1,0
225,msp,0,1,0
225,msp,90,1,0
225,msp,180,1,0
225,msp,270,1,0
226,msp,0,1,0
226,msp,90,1,0
226,msp,180,1,0
226,msp,270,1,0
227,msp,0,1,0
227,msp,90,1,0
227,msp,180,0,0
227,msp,270,1,0
228,msp,0,1,0
228,msp,90,1,0
228,msp,180,1,0
228,msp,270,1,0
229,msp,0,0,0
229,msp,90,0,0
229,msp,180,0,0
229,msp,270,0,0
230,msp,0,1,0
230,msp,90,1,0
230,msp,180,1,0
230,msp,270,1,0
231,msp,0,1,0
231,msp,90,1,0
231,msp,180,1,0
231,msp,270,1,0
232,msp,0,1,0
232,msp,90,1,0
232,msp,180,1,0
232,msp,270,1,0
233,msp,0,1,0
233,msp,90,1,0
233,msp,180,1,0
233,msp,270,1,0
234,msp,0,0,0
234,msp,90,0,0
234,msp,180,0,0
234,msp,270,0,0
235,msp,0,1,0
235,msp,90,1,0
235,msp,180,0,0
235,msp,270,0,0
236,msp,0,1,0
236,msp,90,1,0
236,msp,180,0,0
236,msp,270,0,0
237,msp,0,1,0
237,msp,90,1,0
237,msp,180,1,0
237,msp,270,1,0
238,msp,0,0,0
238,msp,90,0,0
238,msp,180,0,0
238,msp,270,0,0
239,msp,0,1,0
239,msp,90,1,0
239,msp,180,1,0
239,msp,270,1,0
240,msp,0,0,0
240,msp,90,1,0
240,msp,180,1,0
240,msp,270,1,0
241,msp,0,1,0
241,msp,90,1,0
241,msp,180,1,0
241,msp,270,1,0
242,msp,0,0,0
242,msp,90,0,0
242,msp,180,0,0
242,msp,270,0,0
243,msp,0,1,0
243,msp,90,1,0
243,msp,180,1,0
243,msp,270,1,0
244,msp,0,0,0
244,msp,90,0,0
244,msp,180,0,0
244,msp,270,0,0
245,msp,0,1,0
245,msp,90,1,0
245,msp,180,1,0
245,msp,270,1,0
246,msp,0,1,0
246,msp,90,1,0
246,msp,180,1,0
246,msp,270,1,0
247,msp,0,1,0
247,msp,90,1,0
247,msp,180,1,0
247,msp,270,1,0
248,msp,0,1,0
248,msp,90,1,0
248,msp,180,1,0
248,msp,270,1,0
249,msp,0,1,0
249,msp,90,1,0
249,msp,180,1,0
249,msp,270,1,0
250,msp,0,1,0
250,msp,90,1,0
250,msp,180,1,0
250,msp,270,1,0
251,msp,0,1,0
251,msp,90,1,0
251,msp,180,1,0
251,msp,270,1,0
252,msp,0,1,0
252,msp,90,0,0
252,msp,180,0,0
252,msp,270,0,0
253,msp,0,1,0
253,msp,90,1,0
253,msp,180,1,0
253,msp,270,1,0
254,msp,0,1,0
254,msp,90,1,0
254,msp,180,1,0
254,msp,270,1,0
255,msp,0,1,0
255,msp,90,1,0
255,msp,180,1,0
255,msp,270,1,0
256,msp,0,0,0
256,msp,90,0,0
256,msp,180,0,0
256,msp,270,1,0
257,msp,0,0,0
257,msp,90,0,0
257,msp,180,0,0
257,msp,270,0,0
258,msp,0,0,0
258,msp,90,0,0
258,msp,180,0,0
258,msp,270,0,0
259,msp,0,0,0
259,msp,90,0,0
259,msp,180,0,0
259,msp,270,0,0
260,msp,0,0,0
260,msp,90,0,0
260,msp,180,0,0
260,msp,270,0,0
261,msp,0,0,0
261,msp,90,0,0
261,msp,180,0,0
261,msp,270,0,0
262,msp,0,0,0
262,msp,90,0,0
262,msp,180,0,0
262,msp,270,0,0
263,msp,0,0,0
263,msp,90,0,0
263,msp,180,0,0
263,msp,270,0,0
264,msp,0,0,0
264,msp,90,0,0
264,msp,180,0,0
264,msp,270,0,0
265,msp,0,0,0
265,msp,90,0,0
265,msp,180,0,0
265,msp,270,1,0
266,msp,0,0,0
266,msp,90,0,0
266,msp,180,0,0
266,msp,270,0,0
267,msp,0,0,0
267,msp,90,0,0
267,msp,180,0,0
267,msp,270,0,0
268,msp,0,0,0
268,msp,90,0,0
268,msp,180,0,0
268,msp,270,1,0
269,msp,0,1,0
269,msp,90,1,0
269,msp,180,1,0
269,msp,270,1,0
270,msp,0,0,0
270,msp,90,0,0
270,msp,180,1,0
270,msp,270,0,0
271,msp,0,0,0
271,msp,90,0,0
271,msp,180,0,0
271,msp,270,0,0
272,msp,0,0,0
272,msp,90,0,0
272,msp,180,0,0
272,msp,270,0,0
273,msp,0,1,0
273,msp,90,1,0
273,msp,180,1,0
273,msp,270,1,0
274,msp,0,0,0
274,msp,90,0,0
274,msp,180,0,0
274,msp,270,0,0
275,msp,0,0,0
275,msp,90,0,0
275,msp,180,0,0
275,msp,270,0,0
276,msp,0,1,0
276,msp,90,1,0
276,msp,180,1,0
276,msp,270,1,0
277,msp,0,1,1
277,msp,90,1,1
277,msp,180,1,1
277,msp,270,1,1
278,msp,0,0,0
278,msp,90,1,1
278,msp,180,0,0
278,msp,270,0,0
279,msp,0,1,0
279,msp,90,1,0
279,msp,180,1,0
279,msp,270,1,0
280,msp,0,1,0
280,msp,90,1,0
280,msp,180,1,0
280,msp,270,1,0
281,msp,0,0,0
281,msp,90,0,0
281,msp,180,0,0
281,msp,270,0,0
282,msp,0,0,0
282,msp,90,0,0
282,msp,180,0,0
282,msp,270,0,0
283,msp,0,0,0
283,msp,90,0,0
283,msp,180,0,0
283,msp,270,0,0
284,msp,0,1,0
284,msp,90,1,0
284,msp,180,1,0
284,msp,270,1,0
285,msp,0,1,1
285,msp,90,1,1
285,msp,180,1,1
285,msp,270,1,1
286,msp,0,1,0
286,msp,90,1,0
286,msp,180,1,0
286,msp,270,1,0
287,msp,0,1,0
287,msp,90,1,1
287,msp,180,0,0
287,msp,270,0,0
288,msp,0,1,0
288,msp,90,1,0
288,msp,180,1,0
288,msp,270,1,0
289,msp,0,1,0
289,msp,90,1,0
289,msp,180,1,0
289,msp,270,1,0
290,msp,0,1,0
290,msp,90,1,0
290,msp,180,1,0
290,msp,270,1,0
291,msp,0,1,0
291,msp,90,0,0
291,msp,180,0,0
291,msp,270,0,0
292,msp,0,1,0
292,msp,90,1,0
292,msp,180,1,0
292,msp,270,1,0
293,msp,0,1,0
293,msp,90,1,0
293,msp,180,1,0
293,msp,270,1,0
294,msp,0,1,0
294,msp,90,1,0
294,msp,180,1,0
294,msp,270,1,0
295,msp,0,1,0
295,msp,90,1,0
295,msp,180,1,0
295,msp,270,1,0
296,msp,0,1,0
296,msp,90,1,0
296,msp,180,1,0
296,msp,270,1,0
297,msp,0,1,0
297,msp,90,1,0
297,msp,180,1,0
297,msp,270,1,0
298,msp,0,1,0
298,msp,90,1,0
298,msp,180,1,0
298,msp,270,1,0
299,msp,0,1,0
299,msp,90,1,0
299,msp,180,1,0
299,msp,270,1,0
300,msp,0,0,0
300,msp,90,0,0
300,msp,180,1,0
300,msp,270,0,0
301,msp,0,1,0
301,msp,90,1,0
301,msp,180,1,0
301,msp,270,0,0
302,msp,0,1,0
302,msp,90,1,0
302,msp,180,1,0
302,msp,270,1,0
303,msp,0,1,0
303,msp,90,1,0
303,msp,180,1,0
303,msp,270,1,0
304,msp,0,0,0
304,msp,90,0,0
304,msp,180,0,0
304,msp,270,1,0
305,msp,0,0,0
305,msp,90,0,0
305,msp,180,0,0
305,msp,270,0,0
306,msp,0,0,0
306,msp,90,1,0
306,msp,180,1,0
306,msp,270,0,0
307,msp,0,1,0
307,msp,90,1,0
307,msp,180,1,0
307,msp,270,1,0
308,msp,0,0,0
308,msp,90,0,0
308,msp,180,0,0
308,msp,270,0,0
309,msp,0,1,0
309,msp,90,1,0
309,msp,180,1,0
309,msp,270,1,0
310,msp,0,0,0
310,msp,90,0,0
310,msp,180,0,0
310,msp,270,0,0
311,msp,0,1,0
311,msp,90,1,0
311,msp,180,1,0
311,msp,270,1,0
312,msp,0,0,0
312,msp,90,0,0
312,msp,180,0,0
312,msp,270,0,0
313,msp,0,0,0
313,msp,90,1,0
313,msp,180,0,0
313,msp,270,1,0
314,msp,0,1,0
314,msp,90,1,0
314,msp,180,1,0
314,msp,270,1,0
315,msp,0,0,0
315,msp,90,0,0
315,msp,180,0,0
315,msp,270,0,0
316,msp,0,0,0
316,msp,90,0,0
316,msp,180,0,0
316,msp,270,0,0
