point_id,metro,state,lat,lon,blockgroup_geoid,tract_geoid,NatWalkInd,D2A_Ranked,D2B_Ranked,D3B_Ranked,D4A_Ranked,D1A,D1B,D2B_E8MIX,D3A,D3B,D3APO,D4A,D4C,D4D,LPA_CrudePrev,LPA_Crude95CI,OBESITY_CrudePrev,OBESITY_Crude95CI,TotalPopulation,stops_400m,trips_per_hr_400m,stops_800m,trips_per_hr_800m
MSP_14,Minneapolis,MN,45.0426344,-93.1084952,271230407042,27123040704,12.5,16.0,13.0,9.0,14.0,2.7497837506878047,5.9782069705989,0.7279921202019891,15.599336307805192,41.37282969848378,10.14376410758655,728.23,2.67,4.08949560547,15.8,"(13.3, 18.6)",29.9,"(26.8, 33.3)",6045.0,4,1.5,8,3.0
MSP_15,Minneapolis,MN,45.0426435,-93.1078601,271230407042,27123040704,12.5,16.0,13.0,9.0,14.0,2.7497837506878047,5.9782069705989,0.7279921202019891,15.599336307805192,41.37282969848378,10.14376410758655,728.23,2.67,4.08949560547,15.8,"(13.3, 18.6)",29.9,"(26.8, 33.3)",6045.0,4,1.5,8,3.0
MSP_16,Minneapolis,MN,45.042783,-93.1075573,271230407042,27123040704,12.5,16.0,13.0,9.0,14.0,2.7497837506878047,5.9782069705989,0.7279921202019891,15.599336307805192,41.37282969848378,10.14376410758655,728.23,2.67,4.08949560547,15.8,"(13.3, 18.6)",29.9,"(26.8, 33.3)",6045.0,4,1.5,8,3.0
MSP_17,Minneapolis,MN,45.0428203,-93.1075211,271230407042,27123040704,12.5,16.0,13.0,9.0,14.0,2.7497837506878047,5.9782069705989,0.7279921202019891,15.599336307805192,41.37282969848378,10.14376410758655,728.23,2.67,4.08949560547,15.8,"(13.3, 18.6)",29.9,"(26.8, 33.3)",6045.0,4,1.5,8,3.0
MSP_18,Minneapolis,MN,45.0429998,-93.1070904,271230407042,27123040704,12.5,16.0,13.0,9.0,14.0,2.7497837506878047,5.9782069705989,0.7279921202019891,15.599336307805192,41.37282969848378,10.14376410758655,728.23,2.67,4.08949560547,15.8,"(13.3, 18.6)",29.9,"(26.8, 33.3)",6045.0,4,1.5,8,3.0
MSP_19,Minneapolis,MN,45.0432416,-93.1071919,271230407042,27123040704,12.5,16.0,13.0,9.0,14.0,2.7497837506878047,5.9782069705989,0.7279921202019891,15.599336307805192,41.37282969848378,10.14376410758655,728.23,2.67,4.08949560547,15.8,"(13.3, 18.6)",29.9,"(26.8, 33.3)",6045.0,5,1.875,10,3.75
MSP_20,Minneapolis,MN,45.0432706,-93.106507,271230407042,27123040704,12.5,16.0,13.0,9.0,14.0,2.7497837506878047,5.9782069705989,0.7279921202019891,15.599336307805192,41.37282969848378,10.14376410758655,728.23,2.67,4.08949560547,15.8,"(13.3, 18.6)",29.9,"(26.8, 33.3)",6045.0,5,1.875,10,3.75
MSP_21,Minneapolis,MN,45.0433153,-93.1065531,271230407042,27123040704,12.5,16.0,13.0,9.0,14.0,2.7497837506878047,5.9782069705989,0.7279921202019891,15.599336307805192,41.37282969848378,10.14376410758655,728.23,2.67,4.08949560547,15.8,"(13.3, 18.6)",29.9,"(26.8, 33.3)",6045.0,5,1.875,10,3.75
MSP_22,Minneapolis,MN,45.0435083,-93.1065287,271230407042,27123040704,12.5,16.0,13.0,9.0,14.0,2.7497837506878047,5.9782069705989,0.7279921202019891,15.599336307805192,41.37282969848378,10.14376410758655,728.23,2.67,4.08949560547,15.8,"(13.3, 18.6)",29.9,"(26.8, 33.3)",6045.0,5,1.875,10,3.75
MSP_23,Minneapolis,MN,45.0435112,-93.1061268,271230406045,27123040604,6.499999999999999,4.0,17.0,8.0,1.0,2.7610798858522707,7.512310833339757,0.8607017605962577,13.359838775505766,30.97654376857466,9.427609755222838,-99999.0,1.0,0.901817921004,,,,,,5,1.875,10,3.75
MSP_24,Minneapolis,MN,45.0435459,-93.1064733,271230407042,27123040704,12.5,16.0,13.0,9.0,14.0,2.7497837506878047,5.9782069705989,0.7279921202019891,15.599336307805192,41.37282969848378,10.14376410758655,728.23,2.67,4.08949560547,15.8,"(13.3, 18.6)",29.9,"(26.8, 33.3)",6045.0,5,1.875,10,3.75
MSP_25,Minneapolis,MN,45.0452585,-93.1063953,271230407042,27123040704,12.5,16.0,13.0,9.0,14.0,2.7497837506878047,5.9782069705989,0.7279921202019891,15.599336307805192,41.37282969848378,10.14376410758655,728.23,2.67,4.08949560547,15.8,"(13.3, 18.6)",29.9,"(26.8, 33.3)",6045.0,4,1.5,8,3.0
MSP_26,Minneapolis,MN,45.0455944,-93.1061814,271230406045,27123040604,6.499999999999999,4.0,17.0,8.0,1.0,2.7610798858522707,7.512310833339757,0.8607017605962577,13.359838775505766,30.97654376857466,9.427609755222838,-99999.0,1.0,0.901817921004,,,,,,4,1.5,8,3.0
MSP_27,Minneapolis,MN,45.0456518,-93.1064916,271230407042,27123040704,12.5,16.0,13.0,9.0,14.0,2.7497837506878047,5.9782069705989,0.7279921202019891,15.599336307805192,41.37282969848378,10.14376410758655,728.23,2.67,4.08949560547,15.8,"(13.3, 18.6)",29.9,"(26.8, 33.3)",6045.0,4,1.5,8,3.0
MSP_28,Minneapolis,MN,45.0458723,-93.1060756,271230406045,27123040604,6.499999999999999,4.0,17.0,8.0,1.0,2.7610798858522707,7.512310833339757,0.8607017605962577,13.359838775505766,30.97654376857466,9.427609755222838,-99999.0,1.0,0.901817921004,,,,,,3,1.125,8,3.0
MSP_29,Minneapolis,MN,45.0459243,-93.1064231,271230407042,27123040704,12.5,16.0,13.0,9.0,14.0,2.7497837506878047,5.9782069705989,0.7279921202019891,15.599336307805192,41.37282969848378,10.14376410758655,728.23,2.67,4.08949560547,15.8,"(13.3, 18.6)",29.9,"(26.8, 33.3)",6045.0,3,1.125,8,3.0
MSP_30,Minneapolis,MN,45.0467993,-93.1061958,271230406045,27123040604,6.499999999999999,4.0,17.0,8.0,1.0,2.7610798858522707,7.512310833339757,0.8607017605962577,13.359838775505766,30.97654376857466,9.427609755222838,-99999.0,1.0,0.901817921004,,,,,,3,1.125,8,3.0
MSP_31,Minneapolis,MN,45.0468002,-93.1064885,271230407042,27123040704,12.5,16.0,13.0,9.0,14.0,2.7497837506878047,5.9782069705989,0.7279921202019891,15.599336307805192,41.37282969848378,10.14376410758655,728.23,2.67,4.08949560547,15.8,"(13.3, 18.6)",29.9,"(26.8, 33.3)",6045.0,3,1.125,8,3.0
MSP_32,Minneapolis,MN,45.04684,-93.1061425,271230406045,27123040604,6.499999999999999,4.0,17.0,8.0,1.0,2.7610798858522707,7.512310833339757,0.8607017605962577,13.359838775505766,30.97654376857466,9.427609755222838,-99999.0,1.0,0.901817921004,,,,,,4,1.5,8,3.0
MSP_33,Minneapolis,MN,45.0468412,-93.1065413,271230407042,27123040704,12.5,16.0,13.0,9.0,14.0,2.7497837506878047,5.9782069705989,0.7279921202019891,15.599336307805192,41.37282969848378,10.14376410758655,728.23,2.67,4.08949560547,15.8,"(13.3, 18.6)",29.9,"(26.8, 33.3)",6045.0,4,1.5,8,3.0
MSP_34,Minneapolis,MN,45.0469996,-93.1061232,271230406045,27123040604,6.499999999999999,4.0,17.0,8.0,1.0,2.7610798858522707,7.512310833339757,0.8607017605962577,13.359838775505766,30.97654376857466,9.427609755222838,-99999.0,1.0,0.901817921004,,,,,,4,1.5,8,3.0
MSP_35,Minneapolis,MN,45.0470461,-93.106166,271230406045,27123040604,6.499999999999999,4.0,17.0,8.0,1.0,2.7610798858522707,7.512310833339757,0.8607017605962577,13.359838775505766,30.97654376857466,9.427609755222838,-99999.0,1.0,0.901817921004,,,,,,4,1.5,8,3.0
MSP_36,Minneapolis,MN,45.0470471,-93.1065154,271230407042,27123040704,12.5,16.0,13.0,9.0,14.0,2.7497837506878047,5.9782069705989,0.7279921202019891,15.599336307805192,41.37282969848378,10.14376410758655,728.23,2.67,4.08949560547,15.8,"(13.3, 18.6)",29.9,"(26.8, 33.3)",6045.0,4,1.5,8,3.0
MSP_37,Minneapolis,MN,45.0470803,-93.1064546,271230407042,27123040704,12.5,16.0,13.0,9.0,14.0,2.7497837506878047,5.9782069705989,0.7279921202019891,15.599336307805192,41.37282969848378,10.14376410758655,728.23,2.67,4.08949560547,15.8,"(13.3, 18.6)",29.9,"(26.8, 33.3)",6045.0,4,1.5,8,3.0
MSP_38,Minneapolis,MN,45.0498692,-93.1150079,271230407042,27123040704,12.5,16.0,13.0,9.0,14.0,2.7497837506878047,5.9782069705989,0.7279921202019891,15.599336307805192,41.37282969848378,10.14376410758655,728.23,2.67,4.08949560547,15.8,"(13.3, 18.6)",29.9,"(26.8, 33.3)",6045.0,0,0.0,4,1.5
MSP_39,Minneapolis,MN,45.0472449,-93.064918,271230406042,27123040604,6.833333333333333,11.0,4.0,12.0,1.0,2.682366168844861,4.740181408824352,0.3832117366899731,14.08614395916903,71.6906031654956,10.509564730441925,-99999.0,-99999.0,-99999.0,,,,,,1,0.312,2,0.625
MSP_40,Minneapolis,MN,45.0473482,-93.0646384,271230406043,27123040604,8.666666666666666,19.0,15.0,8.0,1.0,1.572801220717344,2.873728886318766,0.7252468412040571,22.455632490588464,40.12711357018939,8.356196149324163,-99999.0,-99999.0,-99999.0,,,,,,2,0.625,2,0.625
MSP_41,Minneapolis,MN,45.0475645,-93.061814,271230406043,27123040604,8.666666666666666,19.0,15.0,8.0,1.0,1.572801220717344,2.873728886318766,0.7252468412040571,22.455632490588464,40.12711357018939,8.356196149324163,-99999.0,-99999.0,-99999.0,,,,,,2,0.625,2,0.625
MSP_42,Minneapolis,MN,45.0477795,-93.0642449,271230406043,27123040604,8.666666666666666,19.0,15.0,8.0,1.0,1.572801220717344,2.873728886318766,0.7252468412040571,22.455632490588464,40.12711357018939,8.356196149324163,-99999.0,-99999.0,-99999.0,,,,,,2,0.625,2,0.625
MSP_43,Minneapolis,MN,45.0477844,-93.0616102,271230406043,27123040604,8.666666666666666,19.0,15.0,8.0,1.0,1.572801220717344,2.873728886318766,0.7252468412040571,22.455632490588464,40.12711357018939,8.356196149324163,-99999.0,-99999.0,-99999.0,,,,,,2,0.625,2,0.625
MSP_44,Minneapolis,MN,45.0478303,-93.0636744,271230406043,27123040604,8.666666666666666,19.0,15.0,8.0,1.0,1.572801220717344,2.873728886318766,0.7252468412040571,22.455632490588464,40.12711357018939,8.356196149324163,-99999.0,-99999.0,-99999.0,,,,,,2,0.625,2,0.625
MSP_45,Minneapolis,MN,45.0501976,-93.0453466,271230406041,27123040604,7.333333333333333,19.0,13.0,5.0,1.0,0.8432434012397707,2.0726295733016675,0.6895177870160036,11.207859253187069,12.67868434521606,4.072565748546471,-99999.0,-99999.0,-99999.0,,,,,,0,0.0,0,0.0
MSP_46,Minneapolis,MN,45.0503252,-93.0453464,271230405032,27123040503,6.499999999999999,16.0,9.0,6.0,1.0,0.628818692706332,1.593007354856041,0.5262764076729287,8.188083211056714,13.783161943093422,4.243541936521729,-99999.0,-99999.0,-99999.0,16.2,"(13.8, 18.9)",29.3,"(26.3, 32.4)",3572.0,0,0.0,0,0.0
MSP_47,Minneapolis,MN,45.0371325,-93.3188283,270531002001,27053100200,16.666666666666668,8.0,14.0,19.0,20.0,3.4484260044848667,7.8306835207878205,0.8619558753193507,27.249258046065908,186.05704317524044,24.325055729211613,24.14,14.33,51.5925041352,22.9,"(20.0, 25.9)",31.1,"(28.4, 34.1)",3764.0,2,23.125,6,27.125
MSP_48,Minneapolis,MN,45.037412,-93.3180903,270531002001,27053100200,16.666666666666668,8.0,14.0,19.0,20.0,3.4484260044848667,7.8306835207878205,0.8619558753193507,27.249258046065908,186.05704317524044,24.325055729211613,24.14,14.33,51.5925041352,22.9,"(20.0, 25.9)",31.1,"(28.4, 34.1)",3764.0,4,25.125,9,35.562
MSP_49,Minneapolis,MN,45.0313687,-93.2887553,270531004001,27053100400,14.333333333333332,15.0,5.0,13.0,20.0,4.047474439735019,12.93104298081532,0.4662995182250788,26.610126417336545,88.94167903606576,19.571148422692456,92.54,4.67,20.0947092936,27.3,"(24.3, 30.4)",33.5,"(30.7, 36.4)",3388.0,4,14.875,24,80.875
MSP_50,Minneapolis,MN,45.0354206,-93.275769,270531005001,27053100500,14.0,20.0,8.0,8.0,20.0,0.9890182263321756,2.187828197643904,0.7451374475221312,13.59399847706718,38.14702885527728,9.408588463526016,132.77,7.33,13.3113263596,21.6,"(18.6, 25.2)",28.2,"(25.6, 31.0)",1978.0,2,2.188,4,9.438
MSP_51,Minneapolis,MN,45.0357691,-93.1967451,271230411072,27123041107,12.833333333333334,17.0,10.0,7.0,18.0,1.0841300892334722,2.797287529706686,0.6620143894180188,10.422436252101122,25.364237902279275,5.721354661222471,266.88,2.67,4.95337296658,19.2,"(16.3, 22.2)",33.8,"(30.4, 37.3)",6242.0,4,3.5,11,9.625
MSP_52,Minneapolis,MN,45.0357693,-93.1968324,271230411072,27123041107,12.833333333333334,17.0,10.0,7.0,18.0,1.0841300892334722,2.797287529706686,0.6620143894180188,10.422436252101122,25.364237902279275,5.721354661222471,266.88,2.67,4.95337296658,19.2,"(16.3, 22.2)",33.8,"(30.4, 37.3)",6242.0,4,3.5,11,9.625
MSP_53,Minneapolis,MN,45.0334645,-93.1656403,271230414004,27123041400,13.0,5.0,15.0,14.0,15.0,2.299026091079974,8.342354622274282,0.9001712664029596,22.451289983547007,96.21861541918938,16.8261677997227,580.7,2.0,7.038154884,17.5,"(14.5, 20.8)",29.8,"(26.6, 33.2)",5817.0,2,1.25,6,3.75
MSP_54,Minneapolis,MN,45.0362026,-93.162539,271230408032,27123040803,12.0,12.0,2.0,16.0,13.0,1.329532653980377,3.7167446397215,0.22336017483467,19.22910876128177,116.94314580487568,15.48351265325635,1134.59,-99999.0,-99999.0,,,,,,0,0.0,2,1.25
MSP_55,Minneapolis,MN,45.0277432,-93.1376612,271230415003,27123041500,12.333333333333332,11.0,5.0,9.0,20.0,2.040513080793089,4.6284808905794455,0.4943216145058987,13.080867772618353,41.9141907047503,11.328201075015796,0.0,1.0,1.79565550102,15.9,"(12.8, 19.2)",27.5,"(24.3, 30.8)",5392.0,6,3.75,16,10.0
MSP_56,Minneapolis,MN,45.028517,-93.1367281,271230415003,27123041500,12.333333333333332,11.0,5.0,9.0,20.0,2.040513080793089,4.6284808905794455,0.4943216145058987,13.080867772618353,41.9141907047503,11.328201075015796,0.0,1.0,1.79565550102,15.9,"(12.8, 19.2)",27.5,"(24.3, 30.8)",5392.0,6,3.75,15,9.438
MSP_57,Minneapolis,MN,45.0273318,-93.1056967,271230421011,27123042101,13.166666666666668,20.0,17.0,8.0,13.0,1.5917495660494734,3.588989780792869,0.7979447045637755,15.961265183032758,37.67125796365526,8.833507802029683,830.15,6.33,6.44205378512,21.7,"(18.8, 24.8)",32.2,"(29.2, 35.6)",6052.0,8,32.0,16,46.812
MSP_58,Minneapolis,MN,45.0273329,-93.1059662,271230421011,27123042101,13.166666666666668,20.0,17.0,8.0,13.0,1.5917495660494734,3.588989780792869,0.7979447045637755,15.961265183032758,37.67125796365526,8.833507802029683,830.15,6.33,6.44205378512,21.7,"(18.8, 24.8)",32.2,"(29.2, 35.6)",6052.0,8,32.0,16,46.812
MSP_59,Minneapolis,MN,45.0273338,-93.1061673,271230416013,27123041601,10.0,3.0,7.0,12.0,13.0,4.055054332855216,8.499936250478122,0.8948232525980003,18.44679280384176,78.43114064856081,16.945565505266387,956.22,6.33,17.1143134994,17.4,"(14.5, 20.8)",29.9,"(26.7, 33.4)",6235.0,7,30.125,16,46.812
MSP_60,Minneapolis,MN,45.0274854,-93.1056922,271230421011,27123042101,13.166666666666668,20.0,17.0,8.0,13.0,1.5917495660494734,3.588989780792869,0.7979447045637755,15.961265183032758,37.67125796365526,8.833507802029683,830.15,6.33,6.44205378512,21.7,"(18.8, 24.8)",32.2,"(29.2, 35.6)",6052.0,8,32.0,16,46.812
MSP_61,Minneapolis,MN,45.0405917,-93.1062797,271230407042,27123040704,12.5,16.0,13.0,9.0,14.0,2.7497837506878047,5.9782069705989,0.7279921202019891,15.599336307805192,41.37282969848378,10.14376410758655,728.23,2.67,4.08949560547,15.8,"(13.3, 18.6)",29.9,"(26.8, 33.3)",6045.0,4,1.5,10,3.75
MSP_62,Minneapolis,MN,45.0409068,-93.1062803,271230407042,27123040704,12.5,16.0,13.0,9.0,14.0,2.7497837506878047,5.9782069705989,0.7279921202019891,15.599336307805192,41.37282969848378,10.14376410758655,728.23,2.67,4.08949560547,15.8,"(13.3, 18.6)",29.9,"(26.8, 33.3)",6045.0,4,1.5,10,3.75
MSP_63,Minneapolis,MN,45.0411026,-93.1006004,271230421011,27123042101,13.166666666666668,20.0,17.0,8.0,13.0,1.5917495660494734,3.588989780792869,0.7979447045637755,15.961265183032758,37.67125796365526,8.833507802029683,830.15,6.33,6.44205378512,21.7,"(18.8, 24.8)",32.2,"(29.2, 35.6)",6052.0,0,0.0,7,2.625
MSP_64,Minneapolis,MN,45.0415613,-93.1062817,271230407042,27123040704,12.5,16.0,13.0,9.0,14.0,2.7497837506878047,5.9782069705989,0.7279921202019891,15.599336307805192,41.37282969848378,10.14376410758655,728.23,2.67,4.08949560547,15.8,"(13.3, 18.6)",29.9,"(26.8, 33.3)",6045.0,4,1.5,9,3.375
MSP_65,Minneapolis,MN,45.0423761,-93.1063765,271230407042,27123040704,12.5,16.0,13.0,9.0,14.0,2.7497837506878047,5.9782069705989,0.7279921202019891,15.599336307805192,41.37282969848378,10.14376410758655,728.23,2.67,4.08949560547,15.8,"(13.3, 18.6)",29.9,"(26.8, 33.3)",6045.0,4,1.5,8,3.0
MSP_66,Minneapolis,MN,45.0297294,-93.032452,271230424012,27123042401,16.666666666666664,20.0,16.0,16.0,16.0,1.7052429343895712,3.758178259297536,0.7087127401325103,23.80400723896157,122.4118168116452,16.311742593426434,443.91,19.0,13.4647754317,22.8,"(19.4, 26.6)",30.5,"(27.3, 33.7)",6482.0,4,4.75,10,30.312
MSP_67,Minneapolis,MN,45.0299764,-93.0326129,271230424012,27123042401,16.666666666666664,20.0,16.0,16.0,16.0,1.7052429343895712,3.758178259297536,0.7087127401325103,23.80400723896157,122.4118168116452,16.311742593426434,443.91,19.0,13.4647754317,22.8,"(19.4, 26.6)",30.5,"(27.3, 33.7)",6482.0,4,4.75,10,30.312
MSP_68,Minneapolis,MN,45.0282589,-93.0308203,271230424012,27123042401,16.666666666666664,20.0,16.0,16.0,16.0,1.7052429343895712,3.758178259297536,0.7087127401325103,23.80400723896157,122.4118168116452,16.311742593426434,443.91,19.0,13.4647754317,22.8,"(19.4, 26.6)",30.5,"(27.3, 33.7)",6482.0,4,4.75,8,27.938
MSP_69,Minneapolis,MN,45.0286864,-93.0306165,271230424012,27123042401,16.666666666666664,20.0,16.0,16.0,16.0,1.7052429343895712,3.758178259297536,0.7087127401325103,23.80400723896157,122.4118168116452,16.311742593426434,443.91,19.0,13.4647754317,22.8,"(19.4, 26.6)",30.5,"(27.3, 33.7)",6482.0,4,4.75,8,27.938
MSP_70,Minneapolis,MN,45.028872,-93.0316774,271230424012,27123042401,16.666666666666664,20.0,16.0,16.0,16.0,1.7052429343895712,3.758178259297536,0.7087127401325103,23.80400723896157,122.4118168116452,16.311742593426434,443.91,19.0,13.4647754317,22.8,"(19.4, 26.6)",30.5,"(27.3, 33.7)",6482.0,4,4.75,9,29.125
MSP_71,Minneapolis,MN,45.0288754,-93.0314453,271230424012,27123042401,16.666666666666664,20.0,16.0,16.0,16.0,1.7052429343895712,3.758178259297536,0.7087127401325103,23.80400723896157,122.4118168116452,16.311742593426434,443.91,19.0,13.4647754317,22.8,"(19.4, 26.6)",30.5,"(27.3, 33.7)",6482.0,4,4.75,9,29.125
MSP_72,Minneapolis,MN,45.0288791,-93.0311848,271230424012,27123042401,16.666666666666664,20.0,16.0,16.0,16.0,1.7052429343895712,3.758178259297536,0.7087127401325103,23.80400723896157,122.4118168116452,16.311742593426434,443.91,19.0,13.4647754317,22.8,"(19.4, 26.6)",30.5,"(27.3, 33.7)",6482.0,4,4.75,9,29.125
MSP_73,Minneapolis,MN,45.028882,-93.030987,271230424012,27123042401,16.666666666666664,20.0,16.0,16.0,16.0,1.7052429343895712,3.758178259297536,0.7087127401325103,23.80400723896157,122.4118168116452,16.311742593426434,443.91,19.0,13.4647754317,22.8,"(19.4, 26.6)",30.5,"(27.3, 33.7)",6482.0,4,4.75,8,27.938
MSP_74,Minneapolis,MN,45.0288827,-93.0309396,271230424012,27123042401,16.666666666666664,20.0,16.0,16.0,16.0,1.7052429343895712,3.758178259297536,0.7087127401325103,23.80400723896157,122.4118168116452,16.311742593426434,443.91,19.0,13.4647754317,22.8,"(19.4, 26.6)",30.5,"(27.3, 33.7)",6482.0,4,4.75,8,27.938
MSP_75,Minneapolis,MN,45.0288852,-93.0304777,271230424012,27123042401,16.666666666666664,20.0,16.0,16.0,16.0,1.7052429343895712,3.758178259297536,0.7087127401325103,23.80400723896157,122.4118168116452,16.311742593426434,443.91,19.0,13.4647754317,22.8,"(19.4, 26.6)",30.5,"(27.3, 33.7)",6482.0,4,4.75,8,27.938
MSP_76,Minneapolis,MN,45.0288854,-93.0307455,271230424012,27123042401,16.666666666666664,20.0,16.0,16.0,16.0,1.7052429343895712,3.758178259297536,0.7087127401325103,23.80400723896157,122.4118168116452,16.311742593426434,443.91,19.0,13.4647754317,22.8,"(19.4, 26.6)",30.5,"(27.3, 33.7)",6482.0,4,4.75,8,27.938
MSP_77,Minneapolis,MN,45.0288872,-93.0306194,271230424012,27123042401,16.666666666666664,20.0,16.0,16.0,16.0,1.7052429343895712,3.758178259297536,0.7087127401325103,23.80400723896157,122.4118168116452,16.311742593426434,443.91,19.0,13.4647754317,22.8,"(19.4, 26.6)",30.5,"(27.3, 33.7)",6482.0,4,4.75,8,27.938
MSP_78,Minneapolis,MN,45.0288967,-93.0272313,271230424012,27123042401,16.666666666666664,20.0,16.0,16.0,16.0,1.7052429343895712,3.758178259297536,0.7087127401325103,23.80400723896157,122.4118168116452,16.311742593426434,443.91,19.0,13.4647754317,22.8,"(19.4, 26.6)",30.5,"(27.3, 33.7)",6482.0,6,25.562,13,54.5
MSP_79,Minneapolis,MN,45.028906,-93.0270042,271230424012,27123042401,16.666666666666664,20.0,16.0,16.0,16.0,1.7052429343895712,3.758178259297536,0.7087127401325103,23.80400723896157,122.4118168116452,16.311742593426434,443.91,19.0,13.4647754317,22.8,"(19.4, 26.6)",30.5,"(27.3, 33.7)",6482.0,6,25.562,13,54.5
