point_id,city,dc_official_sidewalk_present,dist_to_sidewalk_m
1128,dc,1,0.0
1129,dc,1,0.10577586513537648
113,dc,1,8.239418045765204
1130,dc,1,1.8842844599609423
1131,dc,1,1.593567307812074
1132,dc,1,0.7159233216234736
1133,dc,1,1.8873157073085955
1134,dc,1,0.0
1135,dc,1,0.0
1136,dc,0,
1137,dc,1,0.0
1138,dc,1,0.40700045887233177
1139,dc,1,5.808166713793697
114,dc,1,0.0
1140,dc,1,0.0
1141,dc,1,0.0
1142,dc,1,0.0
1143,dc,1,8.136079784640316
1144,dc,1,5.285019229841705
1145,dc,1,6.839190832180079
1146,dc,1,5.6207285736227
1147,dc,1,2.518858606784567
1148,dc,1,0.0
1149,dc,1,6.084253036287594
115,dc,1,0.0
1150,dc,1,6.250135428072051
1151,dc,1,5.2609578481394745
1152,dc,1,1.9657411522859862
1153,dc,1,0.0
1154,dc,1,0.0
1155,dc,1,6.4019948797236985
1156,dc,1,4.99181557527473
1157,dc,1,1.1085921461813357
1158,dc,1,7.258209508642064
1159,dc,1,3.7089071694120617
116,dc,1,0.0
1160,dc,1,3.8657815649460976
1161,dc,1,0.8660417032179933
1162,dc,1,5.845044810207949
1163,dc,1,4.163206429329167
1164,dc,1,7.302797824308528
1165,dc,1,3.9833077151951373
1166,dc,1,19.10606951337054
1167,dc,1,5.383931013603686
1168,dc,1,11.945097432914233
1169,dc,1,8.573042450915382
117,dc,1,0.0
1170,dc,1,3.1001159494650765
1171,dc,1,0.0
1172,dc,1,7.125940494109157
1173,dc,1,5.379512531931373
1174,dc,1,6.004347004494618
1175,dc,1,0.0
1176,dc,1,2.497074547351786
1177,dc,1,0.0
1178,dc,1,0.0
1179,dc,1,2.6787369758200303
118,dc,1,0.0
1180,dc,1,0.0
1181,dc,1,0.0
1182,dc,1,0.0
1183,dc,1,0.0
1184,dc,1,0.0
1185,dc,1,2.268343518092713
1186,dc,1,0.0
1187,dc,1,0.0
1188,dc,1,2.2705562005281044
1189,dc,1,0.0
119,dc,1,20.153413264885025
1190,dc,1,0.0
1191,dc,1,0.0
1192,dc,1,0.0
1193,dc,1,0.0
1194,dc,1,0.0
1195,dc,1,1.5609957520769402
1196,dc,1,0.0
1197,dc,1,6.64730761514935
1198,dc,1,2.5643073233717373
1199,dc,1,0.0
12,dc,0,
120,dc,0,
1200,dc,1,0.0
1201,dc,1,11.995531780692298
1202,dc,1,1.2690699716053446
1203,dc,1,2.243175318785072
1204,dc,1,1.1985332388031567
1205,dc,1,0.0
1206,dc,1,0.0
1207,dc,1,0.0
1208,dc,1,3.3744754659005247
1209,dc,1,1.212174553822337
121,dc,1,0.0
1210,dc,1,0.0
1211,dc,1,0.0
1212,dc,1,0.0
1213,dc,1,0.0
1214,dc,1,0.2624611811432265
1215,dc,1,8.050870892726557
1216,dc,1,7.256572109708884
1217,dc,1,5.824934058238516
1218,dc,1,0.0
1219,dc,1,0.0
122,dc,1,4.6723753482275
1220,dc,1,0.0
1221,dc,1,0.0
1222,dc,1,1.857370588206144
1223,dc,1,0.0
1224,dc,1,0.0
1225,dc,1,0.0
1226,dc,1,0.0
1227,dc,1,0.0
1228,dc,1,0.0
1229,dc,1,0.0
123,dc,1,10.75850510360355
1230,dc,1,0.0
1231,dc,1,0.0
1232,dc,1,2.126388169100166
1233,dc,1,6.775309683603798
1234,dc,1,0.0
1235,dc,1,4.86313817073299
1236,dc,1,0.8241397198393617
1237,dc,1,0.0
1238,dc,1,0.0
1239,dc,1,2.474798113169673
124,dc,1,0.0
1240,dc,1,0.0
1241,dc,1,0.0
1242,dc,1,0.0
1243,dc,1,0.0
1244,dc,1,2.4403928321788597
1245,dc,1,6.501058593067284
1246,dc,1,1.3613576714868434
1247,dc,1,13.269701968778712
1248,dc,1,0.0
1249,dc,1,0.0
125,dc,1,0.0
1250,dc,1,0.0006538681363814815
1251,dc,1,0.0
1252,dc,1,0.0
1253,dc,1,0.0
1254,dc,1,0.0
1255,dc,1,4.832777132070221
1256,dc,1,0.0
1257,dc,1,2.346145507000726
1258,dc,1,0.0
1259,dc,1,0.0
126,dc,1,0.0
1260,dc,1,1.7207111090103862
1261,dc,1,7.2183788099188115
1262,dc,1,0.0
1263,dc,1,0.0
1264,dc,1,7.262507176284738
1265,dc,1,0.0
1266,dc,1,0.0
1267,dc,1,0.0
1268,dc,1,1.294436776660403
1269,dc,1,0.0
127,dc,1,0.4028847752272649
1270,dc,1,0.0
1271,dc,1,2.2878561411981457
1272,dc,1,5.317164919391641
1273,dc,1,2.742127808394016
1274,dc,1,0.0
1275,dc,1,4.637310917016685
1276,dc,1,0.5948769581314031
1277,dc,1,0.0
1278,dc,1,6.72455137909456
1279,dc,1,0.0
128,dc,1,1.5948485496787341
1280,dc,1,2.6734452033053846
1281,dc,1,6.434090933505173
1282,dc,1,0.0
1283,dc,1,0.0
1284,dc,1,0.0
1285,dc,1,1.2756297725325128
1286,dc,1,6.943920569798646
1287,dc,1,6.942183173147416
1288,dc,1,17.16841161130201
1289,dc,1,6.560148840747554
129,dc,1,0.0
1290,dc,1,2.2382123353542682
1291,dc,1,0.0
1292,dc,1,0.0
1293,dc,1,0.0
1294,dc,0,
1295,dc,1,0.0
1296,dc,1,0.0
1297,dc,1,0.0
1298,dc,0,
1299,dc,0,
13,dc,0,
130,dc,1,0.0
1300,dc,0,
1301,dc,0,
1302,dc,0,
1303,dc,0,
1304,dc,0,
1305,dc,0,
1306,dc,0,
1307,dc,0,
1308,dc,0,
1309,dc,0,
131,dc,1,0.8037486747375773
1310,dc,0,
1311,dc,0,
1312,dc,0,
1313,dc,0,
1314,dc,0,
1315,dc,0,
1316,dc,0,
1317,dc,0,
1318,dc,0,
1319,dc,0,
132,dc,1,0.0
1320,dc,0,
1321,dc,0,
1322,dc,0,
1323,dc,0,
1324,dc,0,
1325,dc,0,
1326,dc,0,
1327,dc,0,
1328,dc,0,
1329,dc,0,
133,dc,1,0.0
1330,dc,1,0.0
1331,dc,1,0.0
1332,dc,1,0.0
1333,dc,1,0.0
1334,dc,1,0.0
1335,dc,1,3.6697888273014
1336,dc,1,0.0
1337,dc,1,0.0
1338,dc,1,0.11892853023738759
1339,dc,1,2.0806676289879493
134,dc,1,1.5126783333324647
1340,dc,0,
1341,dc,1,0.0
1342,dc,1,1.8075519426076039
1343,dc,0,
1344,dc,1,2.3808956122219813
1345,dc,1,0.6053037337735226
1346,dc,1,0.0
1347,dc,1,0.0
1348,dc,1,1.869790454499133
1349,dc,1,1.3533860892531095
135,dc,1,0.0
1350,dc,0,
1351,dc,1,0.0
1352,dc,1,0.0
1353,dc,0,
1354,dc,1,6.311657413308753
1355,dc,1,0.0
1356,dc,0,
1357,dc,1,2.021291614202553
1358,dc,1,1.3247914313983
1359,dc,1,6.283431833386879
136,dc,1,1.9825648035738463
1360,dc,0,
1361,dc,1,0.0
1362,dc,1,0.0
1363,dc,1,0.0
1364,dc,1,0.0
1365,dc,1,0.0
1366,dc,1,0.0
1367,dc,1,14.269512056263078
1368,dc,1,0.0
1369,dc,0,
137,dc,1,0.0
1370,dc,0,
1371,dc,1,0.0
1372,dc,0,
1373,dc,0,
1374,dc,1,0.0
1375,dc,1,0.0
1376,dc,1,0.0
1377,dc,1,0.0
1378,dc,1,0.0
1379,dc,1,0.0
138,dc,1,0.0
1380,dc,1,1.3865792926483111
1381,dc,1,0.0
1382,dc,1,0.0
1383,dc,1,0.0
1384,dc,1,0.0
1385,dc,1,0.0
1386,dc,1,0.0
1387,dc,1,0.0
1388,dc,1,0.0
1389,dc,1,0.0
139,dc,1,0.0
1390,dc,1,0.0
1391,dc,1,23.151304409882265
1392,dc,1,0.0
1393,dc,1,0.0
1394,dc,1,0.0
1395,dc,1,0.0
1396,dc,1,13.26455558026725
1397,dc,0,
1398,dc,1,0.0
1399,dc,1,0.0
14,dc,0,
140,dc,1,1.930859778423749
1400,dc,1,0.0
1401,dc,1,0.0
1402,dc,1,0.0
1403,dc,1,0.0
1404,dc,1,0.0
1405,dc,1,0.0
1406,dc,1,0.0
1407,dc,1,10.533591886746805
1408,dc,1,0.0
1409,dc,1,2.8884768714694333
141,dc,1,1.9624936595823852
1410,dc,1,0.0
1411,dc,1,0.0
1412,dc,1,2.0457299926153403
1413,dc,1,13.076760971449962
1414,dc,1,0.0
1415,dc,1,0.0
1416,dc,1,0.0
1417,dc,1,7.191417496427334
1418,dc,1,1.3192938536459315
1419,dc,1,2.7549886796074223
142,dc,1,0.0
1420,dc,1,0.0
1421,dc,1,0.0
1422,dc,1,0.0
1423,dc,1,0.0
1424,dc,1,0.0
1425,dc,1,0.0
1426,dc,1,0.0
1427,dc,1,0.0
1428,dc,0,
1429,dc,1,0.0
143,dc,1,0.0
1430,dc,1,0.0
1431,dc,0,
1432,dc,1,0.0
1433,dc,1,0.0
1434,dc,1,4.617347531046755
1435,dc,1,1.8888948377026915
1436,dc,1,2.40850901613345
1437,dc,1,0.0
1438,dc,1,4.282718677834169
1439,dc,1,0.0
144,dc,1,0.0
1440,dc,1,0.0
1441,dc,1,2.264285679225955
1442,dc,1,0.0
1443,dc,1,0.0
1444,dc,1,0.0
1445,dc,1,1.4740778542686355
1446,dc,1,0.0
1447,dc,1,0.0
1448,dc,1,0.0
1449,dc,1,2.2330142539322955
145,dc,1,7.123697501636835
1450,dc,1,0.0
1451,dc,1,0.0
1452,dc,1,2.0791998688284554
1453,dc,1,15.987496302019155
1454,dc,1,0.5322718672700337
1455,dc,1,1.5493715802969015
1456,dc,1,14.666216974011746
1457,dc,1,0.0
1458,dc,1,0.0
1459,dc,1,0.0
146,dc,1,0.0
1460,dc,1,0.0
1461,dc,1,0.0
1462,dc,1,0.0
1463,dc,1,0.0
1464,dc,1,0.0
1465,dc,1,1.5792529046536072
1466,dc,1,0.0
1467,dc,1,5.163536619872622
1468,dc,1,0.0
1469,dc,1,4.10574407653884
147,dc,1,0.0
1470,dc,1,0.0
1471,dc,1,2.181257098458185
1472,dc,1,2.1935930201364156
1473,dc,1,0.0
1474,dc,1,0.0
1475,dc,1,0.0
1476,dc,1,0.0
1477,dc,1,3.155606394630568
1478,dc,1,0.0
1479,dc,1,0.0
148,dc,1,0.30054633662630864
1480,dc,1,0.0
1481,dc,1,0.0
1482,dc,1,3.434307187660285
1483,dc,1,0.0
1484,dc,1,0.0
1485,dc,1,1.8992933038339803
1486,dc,1,0.0
1487,dc,1,18.32020826163448
1488,dc,0,
1489,dc,0,
149,dc,1,1.6656062146560286
1490,dc,1,11.531919056501568
1491,dc,1,2.826919898959926
1492,dc,1,0.0
1493,dc,1,0.0
1494,dc,1,0.0
1495,dc,1,0.0
1496,dc,1,0.0
1497,dc,1,13.827180516330491
1498,dc,1,0.0
1499,dc,1,0.0
15,dc,0,
150,dc,1,2.280778726590347
1500,dc,1,0.0
1501,dc,1,0.0
1502,dc,1,0.0
1503,dc,1,0.0
1504,dc,1,0.0
1505,dc,1,0.0
1506,dc,1,0.0
1507,dc,1,0.0
1508,dc,1,0.0
1509,dc,0,
151,dc,1,17.02317640285026
1510,dc,1,1.339110769080245
1511,dc,1,2.3531939507318826
1512,dc,1,0.0
1513,dc,1,0.7300285068537662
1514,dc,1,0.0
1515,dc,1,0.0
1516,dc,1,0.0
1517,dc,1,0.0
1518,dc,1,0.0
1519,dc,1,2.003302547304586
152,dc,1,2.0742813499257826
1520,dc,1,0.0
1521,dc,1,6.6271632868740245
1522,dc,1,7.422136793796851
1523,dc,1,0.0
1524,dc,1,0.0
1525,dc,1,0.0
1526,dc,1,0.0
1527,dc,1,0.0
1528,dc,1,0.0
1529,dc,1,0.0
153,dc,1,0.0
1530,dc,1,0.0
1531,dc,1,0.0
1532,dc,1,1.4567989777946344
1533,dc,1,0.0
1534,dc,1,0.0
1535,dc,1,3.5371581311404467
1536,dc,1,1.1618117545457953
1537,dc,1,0.0
1538,dc,1,0.0
1539,dc,1,0.0
154,dc,1,0.0
1540,dc,1,0.0
1541,dc,1,0.0
1542,dc,1,0.0
1543,dc,1,0.0
1544,dc,1,0.0
1545,dc,1,1.2645737076995995
1546,dc,1,0.0
1547,dc,1,2.710376699234473
1548,dc,1,3.029553016418625
1549,dc,1,0.0
155,dc,1,1.6241438492650568
1550,dc,1,0.0
1551,dc,1,2.223659873275423
1552,dc,1,0.0
1553,dc,1,0.0
1554,dc,1,1.0348569805590881
1555,dc,1,0.0
1556,dc,1,4.034501036429645
1557,dc,1,0.0
1558,dc,1,0.0
1559,dc,1,0.0
156,dc,1,0.0
1560,dc,1,1.7464677364281533
1561,dc,1,0.0
1562,dc,1,0.0
1563,dc,1,0.0
1564,dc,1,4.167903412086009
1565,dc,1,1.9730886379293626
1566,dc,1,0.0
1567,dc,1,0.0
1568,dc,1,0.0
1569,dc,1,0.0
157,dc,1,1.1086205067322428
1570,dc,1,0.8767427207984237
1571,dc,1,0.0
1572,dc,1,0.0
1573,dc,1,0.0
1574,dc,1,0.0
1575,dc,1,0.0
1576,dc,0,
1577,dc,1,14.123466337457835
1578,dc,1,0.0
1579,dc,1,0.0
158,dc,1,1.8165176354687425
1580,dc,1,1.7388447879911875
1581,dc,1,0.0
1582,dc,1,0.958730145736772
1583,dc,1,0.0
1584,dc,1,0.0
1585,dc,1,0.0
1586,dc,1,0.0
1587,dc,1,0.0
1588,dc,1,0.0
1589,dc,1,0.0
159,dc,1,0.0
1590,dc,1,0.0
1591,dc,1,0.0
1592,dc,1,0.0
1593,dc,1,0.08625272157500477
1594,dc,1,0.0
1595,dc,1,0.0
1596,dc,1,0.0
1597,dc,1,0.0
1598,dc,1,0.0
1599,dc,1,0.0
16,dc,0,
160,dc,1,0.0
1600,dc,1,0.0
1601,dc,1,0.0
1602,dc,1,0.0
1603,dc,1,0.0
1604,dc,1,0.0
1605,dc,1,1.2461623407579823
1606,dc,1,3.004849733580103
1607,dc,1,0.0
1608,dc,1,2.004193733557171
1609,dc,1,0.0
161,dc,1,0.0
1610,dc,1,0.0
1611,dc,1,0.0
1612,dc,1,0.0
1613,dc,1,1.5642013999893596
1614,dc,1,0.0
1615,dc,1,0.0
1616,dc,1,0.0
1617,dc,1,1.9541567052514601
1618,dc,1,1.0992175473044012
1619,dc,1,5.2366120713437265
162,dc,1,0.0
1620,dc,1,1.9267357986837508
1621,dc,1,2.0537632395835637
1622,dc,1,0.0
1623,dc,1,2.7586638389628253
1624,dc,1,2.7643122853429976
1625,dc,1,0.0
1626,dc,1,6.230234341692165
1627,dc,1,0.0
1628,dc,1,0.0
1629,dc,1,0.0
163,dc,1,0.0
1630,dc,1,0.0
1631,dc,1,20.822257873843046
1632,dc,1,7.002730910329495
1633,dc,1,0.0
1634,dc,1,3.1766921360873996
1635,dc,1,0.0
1636,dc,1,10.781662083537446
1637,dc,1,0.0
1638,dc,1,0.0
1639,dc,1,0.0
164,dc,1,0.0
1640,dc,1,24.82453562270841
1641,dc,1,1.6993082049021393
1642,dc,1,2.7225521843460134
1643,dc,1,3.2748359570706156
1644,dc,1,0.0
1645,dc,1,0.0
1646,dc,1,0.0
1647,dc,1,0.0
1648,dc,1,0.0
1649,dc,0,
165,dc,1,6.908862253407164
1650,dc,1,2.17998213036061
1651,dc,1,0.0
1652,dc,1,0.0
1653,dc,1,1.4227588675462597
1654,dc,1,0.0
1655,dc,1,0.0
1656,dc,1,0.0
1657,dc,1,0.0
1658,dc,1,2.8617350364344074
1659,dc,1,0.0
166,dc,1,0.4664979989733364
1660,dc,1,0.0
1661,dc,1,0.0
1662,dc,1,0.0
1663,dc,1,0.0
1664,dc,1,19.16274698381631
1665,dc,1,1.1390783914301532
1666,dc,1,1.347481508384593
1667,dc,1,0.0
1668,dc,1,20.409423987120416
1669,dc,1,0.0
167,dc,1,9.68034245518166
1670,dc,1,0.0
1671,dc,1,0.0
1672,dc,1,0.0
1673,dc,1,0.0
1674,dc,1,1.183875238422906
1675,dc,1,1.2143590746780042
1676,dc,1,0.8504929399425166
1677,dc,1,0.0
1678,dc,1,0.0
1679,dc,1,0.05025781955830769
168,dc,0,
1680,dc,1,0.0
1681,dc,1,0.0
1682,dc,1,0.0
1683,dc,1,0.0
1684,dc,1,0.0
1685,dc,1,0.0
1686,dc,1,0.5146547724774224
1687,dc,1,0.0
1688,dc,1,2.074114591659472
1689,dc,1,0.0
169,dc,1,24.49255147863721
1690,dc,1,0.0
1691,dc,1,0.0
1692,dc,1,0.0
1693,dc,1,0.5167525989888458
1694,dc,1,0.0
1695,dc,1,0.0
1696,dc,1,0.0
1697,dc,1,0.0
1698,dc,1,1.3661020045022738
1699,dc,1,0.0
17,dc,0,
170,dc,1,0.0
1700,dc,1,0.0
1701,dc,1,0.0
1702,dc,1,2.114590026292588
1703,dc,1,0.5743142091069431
1704,dc,1,0.0
1705,dc,1,0.0
1706,dc,1,1.7759735179924896
1707,dc,1,0.0
1708,dc,1,0.0
1709,dc,1,1.246322862625549
171,dc,1,0.0
1710,dc,1,0.0
1711,dc,1,5.587952632081917
1712,dc,1,0.0
1713,dc,1,0.0
1714,dc,1,0.0
1715,dc,1,1.0788795781052938
1716,dc,1,0.0
1717,dc,1,0.0
1718,dc,1,0.0
1719,dc,1,0.0
172,dc,1,0.0
1720,dc,1,2.0712612503403047
1721,dc,1,2.6869070709044873
1722,dc,1,0.8600323953691118
1723,dc,1,0.0
1724,dc,1,0.0
1725,dc,1,0.0
1726,dc,1,0.0
1727,dc,1,0.0
1728,dc,1,0.0
1729,dc,1,0.0
173,dc,1,0.0
1730,dc,1,0.0
1731,dc,1,2.4361336831064566
1732,dc,1,0.0
1733,dc,1,0.0
1734,dc,1,0.0
1735,dc,1,0.0
1736,dc,1,2.019304153257448
1737,dc,1,1.9025655815393185
1738,dc,1,0.0
1739,dc,1,2.0520518497751055
174,dc,1,0.0
1740,dc,1,0.0
1741,dc,1,1.99557669412142
1742,dc,1,0.0
1743,dc,1,12.264913249302266
1744,dc,1,0.0
1745,dc,1,0.0
1746,dc,1,1.1976790142691571
1747,dc,1,6.280864993789455
1748,dc,1,0.0
1749,dc,1,2.0387324653151175
175,dc,1,0.0
1750,dc,1,0.0
1751,dc,1,0.778551419996918
1752,dc,1,0.0
1753,dc,1,0.0
1754,dc,1,0.0
1755,dc,1,0.0
1756,dc,1,0.0
1757,dc,1,0.0
1758,dc,1,0.0
1759,dc,1,0.0
176,dc,1,0.0
1760,dc,1,0.0
1761,dc,1,0.0
1762,dc,1,0.0
1763,dc,1,0.0
1764,dc,1,0.0
1765,dc,1,0.0
1766,dc,1,0.0
1767,dc,1,18.374609768320823
1768,dc,1,17.61346716446914
1769,dc,1,16.292676313114825
177,dc,1,0.0
1770,dc,1,0.0
1771,dc,1,4.599443722780951
1772,dc,1,5.048649483913667
1773,dc,1,0.0
1774,dc,1,0.0
1775,dc,1,0.0
1776,dc,1,0.0
1777,dc,1,0.0
1778,dc,1,0.0
1779,dc,1,0.0
178,dc,1,9.690538922240705
1780,dc,1,0.0
1781,dc,1,0.0
1782,dc,1,0.0
1783,dc,1,0.0
1784,dc,1,0.0
1785,dc,1,0.0
1786,dc,1,0.0
1787,dc,1,0.0
1788,dc,1,0.0
1789,dc,1,0.0
179,dc,1,2.5654108781913942
1790,dc,1,0.0
1791,dc,1,0.0
1792,dc,1,3.444165330874409
1793,dc,1,0.0
1794,dc,1,0.0
1795,dc,1,0.0
1796,dc,1,0.0
1797,dc,1,0.0
1798,dc,1,0.0
1799,dc,1,4.397586820607304
18,dc,0,
180,dc,1,0.0
1800,dc,1,0.0
1801,dc,1,0.0
1802,dc,1,7.447886598634086
1803,dc,1,0.0
1804,dc,1,0.0
1805,dc,1,0.0
1806,dc,1,6.562154193084262
1807,dc,1,0.0
1808,dc,1,0.0
1809,dc,1,0.0
181,dc,1,1.9840878350431541
1810,dc,1,0.0
1811,dc,1,0.0
1812,dc,1,19.168094154737275
1813,dc,1,0.0
1814,dc,1,0.0
1815,dc,1,2.8040302542063165
1816,dc,1,0.0
1817,dc,1,0.0
1818,dc,1,0.0
1819,dc,1,0.0
182,dc,1,1.9640129663510015
1820,dc,1,0.0
1821,dc,1,0.0
1822,dc,1,0.0
1823,dc,1,0.0
1824,dc,1,0.0
1825,dc,1,0.0
1826,dc,1,4.385159343409454
1827,dc,1,2.3582209466923207
1828,dc,1,5.113088150225803
1829,dc,1,0.0
183,dc,1,0.0
1830,dc,1,0.0
1831,dc,1,1.6094721309553968
1832,dc,1,2.6943064388281335
1833,dc,1,0.0
1834,dc,1,0.0
1835,dc,1,2.2204416950713814
1836,dc,1,0.0
1837,dc,1,0.0
1838,dc,1,0.7834142496823039
1839,dc,1,2.3760151850029487
184,dc,1,1.6658571271327436
1840,dc,1,2.4083394168167516
1841,dc,1,0.0
1842,dc,1,0.0
1843,dc,1,1.3461870650554428
1844,dc,1,0.0
1845,dc,1,0.0
1846,dc,1,0.0
1847,dc,1,3.108907277682122
1848,dc,1,0.0
1849,dc,1,0.0
185,dc,1,2.8974769615415696
1850,dc,1,8.455667426245931
1851,dc,1,8.262556758658539
1852,dc,1,0.0
1853,dc,1,0.0
1854,dc,1,0.0
1855,dc,1,0.0
1856,dc,1,0.0
1857,dc,1,0.0
1858,dc,1,0.0
1859,dc,1,0.0
186,dc,1,0.0
1860,dc,1,13.396595026547752
1861,dc,1,0.0
1862,dc,1,0.0
1863,dc,1,0.0
1864,dc,1,5.4314649350967095
1865,dc,1,0.0
1866,dc,1,0.0
1867,dc,1,1.2399711190563465
1868,dc,1,3.037305572064541
1869,dc,1,0.0
187,dc,1,1.8173580598447792
1870,dc,1,0.0
1871,dc,1,0.0
1872,dc,1,0.0
1873,dc,1,3.822602178330665
1875,dc,1,0.0
1876,dc,1,0.0
1877,dc,1,0.0
1878,dc,1,4.7969708520153995
1879,dc,1,5.826825293862719
188,dc,1,2.178307173813798
1880,dc,1,0.0
1881,dc,1,0.0
1882,dc,1,0.0
1883,dc,1,2.4017925454267943
1884,dc,1,0.0
1885,dc,1,0.0
1886,dc,1,0.0
1887,dc,1,4.385551393459152
1888,dc,1,5.183580462033746
1889,dc,1,2.953633651787004
189,dc,1,0.0
1890,dc,1,0.0
1891,dc,1,6.1510668245005125
1892,dc,1,0.7254983182229716
1893,dc,1,0.0
1894,dc,1,0.0
1895,dc,0,
1896,dc,1,0.0
1897,dc,1,0.0
1898,dc,1,0.0
1899,dc,1,1.703876256878288
19,dc,0,
190,dc,1,13.373991494794677
1900,dc,1,0.0
1901,dc,1,1.4016454746072204
1902,dc,1,0.0
1903,dc,1,0.0
1904,dc,1,5.336031715577051
1905,dc,1,2.5419289483870937
1906,dc,1,6.65221212180635
1907,dc,1,0.0
1908,dc,1,4.540916504298873
1909,dc,1,0.0
191,dc,1,1.6036679017434097
1910,dc,1,2.2766825558449115
1911,dc,1,0.0
1912,dc,1,0.0
1913,dc,0,
1914,dc,1,0.0
1915,dc,1,6.637472354767497
1916,dc,1,0.0
1917,dc,1,0.0
1918,dc,1,0.0
1919,dc,1,5.083264912840273
192,dc,1,3.230189465746863
1920,dc,1,6.077696272532855
1921,dc,1,0.0
1922,dc,1,2.345221736922892
1923,dc,1,0.0
1924,dc,1,21.518741492171902
1925,dc,1,0.0
1926,dc,1,8.016269787299171
1927,dc,1,0.0
1928,dc,1,0.0
1929,dc,1,0.0
193,dc,1,0.0
1930,dc,1,9.19685530678403
1931,dc,1,0.0
1932,dc,1,0.0
1933,dc,1,6.3091801840412165
1934,dc,1,0.0
1935,dc,1,0.0
1936,dc,1,0.0
1937,dc,1,8.59847531576987
1938,dc,1,0.0
1939,dc,1,6.576333347299033
194,dc,1,10.398178126618186
1940,dc,1,0.0
1941,dc,1,0.0
1942,dc,1,0.0
1943,dc,1,17.735877868864105
1944,dc,1,0.0
1945,dc,1,0.0
1946,dc,1,1.595740778842993
1947,dc,0,
1948,dc,1,0.0
1949,dc,1,0.0
195,dc,1,24.623427342441577
1950,dc,1,0.0
1951,dc,1,0.0
1952,dc,0,
1953,dc,1,0.0
