tract_fips,n_points,n_covered,coverage_rate,median_income
53033005100,16,16,1.0,154722
53033005201,27,27,1.0,86510
53033005202,21,21,1.0,44532
53033005303,148,148,1.0,35875
53033005304,6,6,1.0,19375
53033005305,15,15,1.0,23201
53033005306,26,26,1.0,44077
53033005307,1,1,1.0,37989
53033005401,44,44,1.0,135881
53033005402,29,29,1.0,111603
53033005600,179,179,1.0,208643
53033005700,136,136,1.0,177654
53033005801,81,81,1.0,129898
53033005803,29,29,1.0,142463
53033005804,43,43,1.0,92171
53033005901,20,20,1.0,150500
53033005902,65,65,1.0,177964
53033006000,78,78,1.0,132917
53033006100,73,73,1.0,134974
53033006200,90,90,1.0,238571
53033006300,80,80,1.0,165125
53033006400,28,28,1.0,182625
53033006500,72,72,1.0,161926
53033006600,47,47,1.0,134393
53033006701,35,35,1.0,154926
53033006702,27,27,1.0,129390
53033006703,11,11,1.0,118777
53033006800,40,40,1.0,160313
53033006900,51,51,1.0,172404
53033007001,18,18,1.0,68821
53033007002,29,29,1.0,84952
53033007101,30,30,1.0,120058
53033007102,35,35,1.0,116250
53033007201,6,6,1.0,118048
53033007202,18,18,1.0,175221
53033007203,29,29,1.0,139167
53033007301,13,13,1.0,97940
53033007302,12,12,1.0,144315
53033007303,6,6,1.0,142543
53033007403,8,8,1.0,103628
53033007404,2,2,1.0,99242
53033007405,9,9,1.0,90074
53033007406,7,7,1.0,61008
53033007501,21,21,1.0,74367
53033007502,18,18,1.0,115263
53033007503,16,16,1.0,107479
53033007600,25,25,1.0,131029
53033007700,35,35,1.0,147788
53033007800,23,23,1.0,186713
53033007901,15,15,1.0,68162
53033007902,10,10,1.0,94432
53033008002,25,25,1.0,115711
53033008003,17,17,1.0,97159
53033008004,18,18,1.0,192964
53033008101,21,21,1.0,99479
53033008102,38,38,1.0,122375
53033008200,10,10,1.0,123208
53033008300,13,13,1.0,99609
53033008401,15,15,1.0,100291
53033008402,5,5,1.0,78494
53033008500,18,18,1.0,71875
53033008600,33,33,1.0,71624
53033008700,39,39,1.0,165865
53033008800,39,39,1.0,128110
53033008900,9,9,1.0,121272
53033009000,34,34,1.0,59436
53033009100,27,27,1.0,36857
53033009200,13,13,1.0,40106
53033009300,154,154,1.0,116786
53033009400,71,71,1.0,100473
53033009500,109,109,1.0,142039
53033009701,9,9,1.0,110461
53033009702,3,3,1.0,154738
53033009802,8,8,1.0,123529
53033009900,10,10,1.0,95625
53033010001,12,12,1.0,70509
53033010002,51,51,1.0,111976
53033010101,38,38,1.0,52022
53033010102,65,65,1.0,143750
53033010302,12,12,1.0,121362
53033010401,1,1,1.0,133784
53033010402,6,6,1.0,107611
53033010501,8,8,1.0,121600
53033010601,1,1,1.0,143971
53033010602,2,2,1.0,100518
53033010702,1,1,1.0,107743
53033010900,87,87,1.0,93594
53033011001,8,8,1.0,42039
53033011002,1,1,1.0,65491
53033011101,2,2,1.0,98716
53033011102,1,1,1.0,125179
53033011200,38,38,1.0,81724
53033011401,2,2,1.0,105152
53033011601,3,3,1.0,190169
53033011700,1,1,1.0,88994
53033011801,4,4,1.0,96250
53033011802,17,17,1.0,66719
53033011901,5,5,1.0,144230
53033011902,1,1,1.0,103047
53033012000,1,1,1.0,118487
53033021100,1,1,1.0,117692
53033021300,3,3,1.0,101453
53033024301,10,10,1.0,99000
53033024302,18,18,1.0,215862
53033026102,2,2,1.0,69708
53033026300,20,20,1.0,83958
53033026400,3,3,1.0,72825
53033026802,1,1,1.0,79587
53033027400,1,1,1.0,82171
53033027500,1,1,1.0,85481
53033027600,1,1,1.0,89704
