run_id,backbone,src,dst,ablation,seed,target,n,ps_prevalence,overture_prevalence,auroc_vs_ps,auroc_vs_overture,ap_vs_ps,ap_vs_overture,delta_auroc
clip__cross_city__msp_to_seattle__tier1__full__seed43,clip,msp,seattle,full,43,overture_sidewalk_present,3317,0.8616219475429605,0.9807054567380162,0.5745421253798152,0.756241834460498,0.8821074018302157,0.9914195607105512,-0.18169970908068278
clip__cross_city__msp_to_seattle__tier1__full__seed43,clip,msp,seattle,full,43,overture_crosswalk_present,4824,0.02404643449419569,0.5700663349917081,0.5995599932616529,0.554093188393092,0.03099940659149781,0.5980651686566899,0.04546680486856092
siglip__cross_city__dc_to_seattle__tier1__full__seed41,siglip,dc,seattle,full,41,overture_sidewalk_present,3313,0.8614548747358889,0.9806821611832176,0.7384571285494654,0.7875500153893505,0.9318653792562146,0.992993071037768,-0.04909288683988511
siglip__cross_city__dc_to_seattle__tier1__full__seed41,siglip,dc,seattle,full,41,overture_crosswalk_present,4818,0.024076380240763803,0.5703611457036114,0.7306061983895334,0.6076988798177331,0.04608393737009316,0.6427663843813105,0.12290731857180037
siglip__cross_city__dc_to_seattle__tier1__full__seed42,siglip,dc,seattle,full,42,overture_sidewalk_present,3313,0.8614548747358889,0.9806821611832176,0.746633933492419,0.7670605378578024,0.937077876312056,0.9925927228458071,-0.02042660436538335
siglip__cross_city__dc_to_seattle__tier1__full__seed42,siglip,dc,seattle,full,42,overture_crosswalk_present,4818,0.024076380240763803,0.5703611457036114,0.7100362648322798,0.5917833962688719,0.04461101757471064,0.6330786887057847,0.11825286856340789
siglip__cross_city__dc_to_seattle__tier1__full__seed43,siglip,dc,seattle,full,43,overture_sidewalk_present,3313,0.8614548747358889,0.9806821611832176,0.7463942362742808,0.7820675592489997,0.9397609395666646,0.9937664803922427,-0.035673322974718924
siglip__cross_city__dc_to_seattle__tier1__full__seed43,siglip,dc,seattle,full,43,overture_crosswalk_present,4818,0.024076380240763803,0.5703611457036114,0.7656252291761393,0.6174905420894599,0.06005783270955362,0.6528892215606772,0.14813468708667943
siglip__cross_city__msp_to_seattle__tier1__full__seed41,siglip,msp,seattle,full,41,overture_sidewalk_present,3317,0.8616219475429605,0.9807054567380162,0.6311729030310513,0.8095820204426682,0.8996324561402378,0.9933998917098547,-0.1784091174116169
siglip__cross_city__msp_to_seattle__tier1__full__seed41,siglip,msp,seattle,full,41,overture_crosswalk_present,4824,0.02404643449419569,0.5700663349917081,0.5518211847771952,0.5059269746646795,0.031331985764946065,0.5698663868581867,0.04589421011251571
siglip__cross_city__msp_to_seattle__tier1__full__seed42,siglip,msp,seattle,full,42,overture_sidewalk_present,3317,0.8616219475429605,0.9807054567380162,0.641829836669914,0.7858347102674454,0.901651177217469,0.9923251273448516,-0.14400487359753145
siglip__cross_city__msp_to_seattle__tier1__full__seed42,siglip,msp,seattle,full,42,overture_crosswalk_present,4824,0.02404643449419569,0.5700663349917081,0.5647000336917353,0.5326638029280266,0.030123467720964973,0.5857113234802601,0.03203623076370865
siglip__cross_city__msp_to_seattle__tier1__full__seed43,siglip,msp,seattle,full,43,overture_sidewalk_present,3317,0.8616219475429605,0.9807054567380162,0.5930358691956683,0.780661600830003,0.888450655951184,0.9923257615875245,-0.1876257316343347
siglip__cross_city__msp_to_seattle__tier1__full__seed43,siglip,msp,seattle,full,43,overture_crosswalk_present,4824,0.02404643449419569,0.5700663349917081,0.5794868602232442,0.5534438502673796,0.03023890262102992,0.6005297472195984,0.026043009955864616
siglip_lora__cross_city__dc_to_seattle__tier1__full__seed41,siglip_lora,dc,seattle,full,41,overture_sidewalk_present,3313,0.8614548747358889,0.9806821611832176,0.7036506497015999,0.9544451177285318,0.9157716624995272,0.9985177284912075,-0.25079446802693195
siglip_lora__cross_city__dc_to_seattle__tier1__full__seed41,siglip_lora,dc,seattle,full,41,overture_crosswalk_present,4818,0.024076380240763803,0.5703611457036114,0.6986177928687719,0.8247719905209938,0.04479026487148896,0.8302635743851633,-0.1261541976522219
siglip_lora__cross_city__dc_to_seattle__tier1__full__seed42,siglip_lora,dc,seattle,full,42,overture_sidewalk_present,3313,0.8614548747358889,0.9806821611832176,0.7051529558331158,0.9634454832256079,0.917422135935803,0.998871969580613,-0.2582925273924921
siglip_lora__cross_city__dc_to_seattle__tier1__full__seed42,siglip_lora,dc,seattle,full,42,overture_crosswalk_present,4818,0.024076380240763803,0.5703611457036114,0.659884275216709,0.8167072759108074,0.03830441922335538,0.8135334368736943,-0.15682300069409838
siglip_lora__cross_city__dc_to_seattle__tier1__full__seed43,siglip_lora,dc,seattle,full,43,overture_sidewalk_present,3313,0.8614548747358889,0.9806821611832176,0.6930184750066032,0.9632434979993842,0.913365345794402,0.9988594934048084,-0.27022502299278106
siglip_lora__cross_city__dc_to_seattle__tier1__full__seed43,siglip_lora,dc,seattle,full,43,overture_crosswalk_present,4818,0.024076380240763803,0.5703611457036114,0.6735321726631367,0.8094783909597846,0.03996016327008292,0.8055302040308083,-0.13594621829664788
siglip_lora__cross_city__msp_to_seattle__tier1__full__seed41,siglip_lora,msp,seattle,full,41,overture_sidewalk_present,3317,0.8616219475429605,0.9807054567380162,0.5704672585152559,0.8994245696280357,0.8789902987178839,0.9962292933365448,-0.3289573111127798
siglip_lora__cross_city__msp_to_seattle__tier1__full__seed41,siglip_lora,msp,seattle,full,41,overture_crosswalk_present,4824,0.02404643449419569,0.5700663349917081,0.6604559736911494,0.7744841763829228,0.04306212310730762,0.7865820677492605,-0.11402820269177338
siglip_lora__cross_city__msp_to_seattle__tier1__full__seed42,siglip_lora,msp,seattle,full,42,overture_sidewalk_present,3317,0.8616219475429605,0.9807054567380162,0.5821994142497992,0.9033392253304642,0.8818324617834856,0.9963364594540659,-0.321139811080665
siglip_lora__cross_city__msp_to_seattle__tier1__full__seed42,siglip_lora,msp,seattle,full,42,overture_crosswalk_present,4824,0.02404643449419569,0.5700663349917081,0.6567544604927784,0.7894200052599281,0.03821175389707635,0.7876544628725061,-0.13266554476714965
siglip_lora__cross_city__msp_to_seattle__tier1__full__seed43,siglip_lora,msp,seattle,full,43,overture_sidewalk_present,3317,0.8616219475429605,0.9807054567380162,0.6072283434795269,0.9220743352290194,0.8885771217178641,0.9971635334880409,-0.31484599174949246
siglip_lora__cross_city__msp_to_seattle__tier1__full__seed43,siglip_lora,msp,seattle,full,43,overture_crosswalk_present,4824,0.02404643449419569,0.5700663349917081,0.7044117862479126,0.7877951257999474,0.04684729948375166,0.7902365029084548,-0.08338333955203481
siglip_lora_loco_seattle__cross_city__dc_to_seattle__tier1__full__seed41,siglip_lora_loco_seattle,dc,seattle,full,41,overture_sidewalk_present,3313,0.8614548747358889,0.9806821611832176,0.6968395082084846,0.8634916512773161,0.9193071505288117,0.9955174982764758,-0.16665214306883147
siglip_lora_loco_seattle__cross_city__dc_to_seattle__tier1__full__seed41,siglip_lora_loco_seattle,dc,seattle,full,41,overture_crosswalk_present,4818,0.024076380240763803,0.5703611457036114,0.6483154637058332,0.5797138366770035,0.035867693093651135,0.6237450120129748,0.06860162702882966
siglip_lora_loco_seattle__cross_city__dc_to_seattle__tier1__full__seed42,siglip_lora_loco_seattle,dc,seattle,full,42,overture_sidewalk_present,3313,0.8614548747358889,0.9806821611832176,0.7112106541596627,0.8581077831640505,0.9229221076103997,0.9953665779631079,-0.14689712900438778
siglip_lora_loco_seattle__cross_city__dc_to_seattle__tier1__full__seed42,siglip_lora_loco_seattle,dc,seattle,full,42,overture_crosswalk_present,4818,0.024076380240763803,0.5703611457036114,0.6199581249358306,0.596171216308391,0.03319550643106631,0.6426957989755725,0.023786908627439596
siglip_lora_loco_seattle__cross_city__dc_to_seattle__tier1__full__seed43,siglip_lora_loco_seattle,dc,seattle,full,43,overture_sidewalk_present,3313,0.8614548747358889,0.9806821611832176,0.7196905157765046,0.8702533471837489,0.9265376994889576,0.9962450191626283,-0.15056283140724436
siglip_lora_loco_seattle__cross_city__dc_to_seattle__tier1__full__seed43,siglip_lora_loco_seattle,dc,seattle,full,43,overture_crosswalk_present,4818,0.024076380240763803,0.5703611457036114,0.6184629798031652,0.5902086014246638,0.03240323244925518,0.6332399389171136,0.02825437837850142
siglip_lora_loco_seattle__cross_city__msp_to_seattle__tier1__full__seed41,siglip_lora_loco_seattle,msp,seattle,full,41,overture_sidewalk_present,3317,0.8616219475429605,0.9807054567380162,0.7117745395335648,0.8718082347064248,0.9234827971686149,0.9957007126105232,-0.16003369517285992
siglip_lora_loco_seattle__cross_city__msp_to_seattle__tier1__full__seed41,siglip_lora_loco_seattle,msp,seattle,full,41,overture_crosswalk_present,4824,0.02404643449419569,0.5700663349917081,0.525451908710046,0.5518784079950908,0.02561829638049812,0.6072766837591848,-0.026426499285044813
siglip_lora_loco_seattle__cross_city__msp_to_seattle__tier1__full__seed42,siglip_lora_loco_seattle,msp,seattle,full,42,overture_sidewalk_present,3317,0.8616219475429605,0.9807054567380162,0.6734435007188474,0.8300703197048879,0.9086618550061978,0.9938982943204893,-0.15662681898604047
siglip_lora_loco_seattle__cross_city__msp_to_seattle__tier1__full__seed42,siglip_lora_loco_seattle,msp,seattle,full,42,overture_crosswalk_present,4824,0.02404643449419569,0.5700663349917081,0.5363541147862771,0.5647576049793986,0.02917624516844842,0.615818373644738,-0.028403490193121494
siglip_lora_loco_seattle__cross_city__msp_to_seattle__tier1__full__seed43,siglip_lora_loco_seattle,msp,seattle,full,43,overture_sidewalk_present,3317,0.8616219475429605,0.9807054567380162,0.7099145310872967,0.8630711074392869,0.9218241538632213,0.9950823942345515,-0.1531565763519902
siglip_lora_loco_seattle__cross_city__msp_to_seattle__tier1__full__seed43,siglip_lora_loco_seattle,msp,seattle,full,43,overture_crosswalk_present,4824,0.02404643449419569,0.5700663349917081,0.6416581826970966,0.5827876742351188,0.038254102492528926,0.6279777034810278,0.05887050846197783
siglip_lora_loco_v2_seattle__cross_city__dc_to_seattle__tier1__full__seed41,siglip_lora_loco_v2_seattle,dc,seattle,full,41,overture_sidewalk_present,3313,0.8614548747358889,0.9806821611832176,0.6862325246224006,0.8597429016620499,0.9120975600423519,0.9952539120718199,-0.17351037703964933
siglip_lora_loco_v2_seattle__cross_city__dc_to_seattle__tier1__full__seed41,siglip_lora_loco_v2_seattle,dc,seattle,full,41,overture_crosswalk_present,4818,0.024076380240763803,0.5703611457036114,0.6374561815221695,0.5698726873826552,0.0367926576194648,0.6173417248110815,0.06758349413951437
siglip_lora_loco_v2_seattle__cross_city__dc_to_seattle__tier1__full__seed42,siglip_lora_loco_v2_seattle,dc,seattle,full,42,overture_sidewalk_present,3313,0.8614548747358889,0.9806821611832176,0.6995872474973014,0.8713474338257926,0.9174037771397912,0.9958802338892823,-0.17176018632849122
siglip_lora_loco_v2_seattle__cross_city__dc_to_seattle__tier1__full__seed42,siglip_lora_loco_v2_seattle,dc,seattle,full,42,overture_crosswalk_present,4818,0.024076380240763803,0.5703611457036114,0.6143130582730753,0.5785771294362524,0.036270312852842095,0.6249678260592207,0.03573592883682286
siglip_lora_loco_v2_seattle__cross_city__dc_to_seattle__tier1__full__seed43,siglip_lora_loco_v2_seattle,dc,seattle,full,43,overture_sidewalk_present,3313,0.8614548747358889,0.9806821611832176,0.7290803107819472,0.8734634695290858,0.9287881875020083,0.9960265606151395,-0.14438315874713858
siglip_lora_loco_v2_seattle__cross_city__dc_to_seattle__tier1__full__seed43,siglip_lora_loco_v2_seattle,dc,seattle,full,43,overture_crosswalk_present,4818,0.024076380240763803,0.5703611457036114,0.5763468223353232,0.5641052957267121,0.032821509124064924,0.6136708667164512,0.012241526608611109
siglip_lora_loco_v2_seattle__cross_city__msp_to_seattle__tier1__full__seed41,siglip_lora_loco_v2_seattle,msp,seattle,full,41,overture_sidewalk_present,3317,0.8616219475429605,0.9807054567380162,0.685490485751878,0.8517618352290194,0.9167199499246167,0.9953633349623447,-0.1662713494771414
siglip_lora_loco_v2_seattle__cross_city__msp_to_seattle__tier1__full__seed41,siglip_lora_loco_v2_seattle,msp,seattle,full,41,overture_crosswalk_present,4824,0.02404643449419569,0.5700663349917081,0.542873648668444,0.5694165863066537,0.027677947895435782,0.6186535844886599,-0.026542937638209696
siglip_lora_loco_v2_seattle__cross_city__msp_to_seattle__tier1__full__seed42,siglip_lora_loco_v2_seattle,msp,seattle,full,42,overture_sidewalk_present,3317,0.8616219475429605,0.9807054567380162,0.6753972718859723,0.8117146672302489,0.91492036074642,0.9935065099827958,-0.13631739534427656
siglip_lora_loco_v2_seattle__cross_city__msp_to_seattle__tier1__full__seed42,siglip_lora_loco_v2_seattle,msp,seattle,full,42,overture_crosswalk_present,4824,0.02404643449419569,0.5700663349917081,0.554159464447895,0.5887187691768212,0.03146297673945954,0.630353532134507,-0.03455930472892621
siglip_lora_loco_v2_seattle__cross_city__msp_to_seattle__tier1__full__seed43,siglip_lora_loco_v2_seattle,msp,seattle,full,43,overture_sidewalk_present,3317,0.8616219475429605,0.9807054567380162,0.6866232613875968,0.8375201736858284,0.9158403119807728,0.9949896823942195,-0.15089691229823166
siglip_lora_loco_v2_seattle__cross_city__msp_to_seattle__tier1__full__seed43,siglip_lora_loco_v2_seattle,msp,seattle,full,43,overture_crosswalk_present,4824,0.02404643449419569,0.5700663349917081,0.5380304617232591,0.557980538265977,0.026717241860948395,0.6088566395514273,-0.019950076542717965
